No,CWI Job Number,Order Ref. Number,S/No,RATE SOURCE,DESCRIPTION,RATE,Formula,Q'TY,TOTAL (USD),REV RATE,REV TOTAL,DIFFERENCE,Validation_Status,Ref_Rate_USD,Python_Delta,CG_Band,Charge_Group,Gate_Score,Gate_Status,PDF_Count,Validation_Notes
1,BAMF0017659,HVDC-ADOPT-SCT-0126,1,CONTRACT,MASTER DO FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,80,PASS,0,Within tolerance; No PDF docs
2,BAMF0017659,HVDC-ADOPT-SCT-0126,2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,1,150.0,150.0,150.0,0.0,REVIEW_NEEDED,,,N/A,Contract,50,FAIL,0,No ref rate found in configuration; No PDF docs
3,BAMF0017659,HVDC-ADOPT-SCT-0126,3,CONTRACT,TERMINAL HANDLING FEE (1 X 20DC),372.0,,1,372.0,372.0,372.0,0.0,REVIEW_NEEDED,,,N/A,Contract,50,FAIL,0,No ref rate found in configuration; No PDF docs
4,BAMF0017659,HVDC-ADOPT-SCT-0126,4,CONTRACT,TERMINAL HANDLING FEE (2 X 40HC),479.0,,2,958.0,479.0,958.0,0.0,REVIEW_NEEDED,,,N/A,Contract,50,FAIL,0,No ref rate found in configuration; No PDF docs
5,BAMF0017659,HVDC-ADOPT-SCT-0126,5,CONTRACT,TRANSPORTATION CHARGES (1 X 20DC / 2 X 40HC) FROM KHALIFA PORT TO DSV MUSSAFAH YARD,252.0,,3,756.0,252.0,756.0,0.0,REVIEW_NEEDED,,,N/A,Contract,50,FAIL,0,No ref rate found in configuration; No PDF docs
6,BAMF0017659,HVDC-ADOPT-SCT-0126,6,CONTRACT,TRANSPORTATION CHARGES (1 X 20DC / 2 X 40HC) FROM DSV MUSSAFAH YARD TO KHALIFA PORT (EMPTY RETURN),252.0,,3,756.0,252.0,756.0,0.0,REVIEW_NEEDED,,,N/A,Contract,50,FAIL,0,No ref rate found in configuration; No PDF docs
7,BAMF0017659,HVDC-ADOPT-SCT-0126,7,AT COST,CARRIER CONTAINER RETURN SERVICE FEE,145.6773315180395,=535/3.6725,1,145.6773315180395,145.68,145.68,0.002668481960512281,REVIEW_NEEDED,,,N/A,AtCost,50,FAIL,0,VBA DIFF: $0.00; No PDF docs
8,BAMF0017659,HVDC-ADOPT-SCT-0126,8,AT COST,PORT CONTAINER ADMIN/INSPECTION FEE (1 X 20DC / 2 X 40HC),6.8073519400953035,=25/3.6725,3,20.422055820285912,6.81,20.43,0.00794417971408734,REVIEW_NEEDED,,,N/A,AtCost,50,FAIL,0,VBA DIFF: $0.01; No PDF docs
9,BAMF0017850,HVDC-ADOPT-SCT-0127,1,CONTRACT,MASTER DO FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,80,PASS,0,Within tolerance; No PDF docs
10,BAMF0017850,HVDC-ADOPT-SCT-0127,2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,1,150.0,150.0,150.0,0.0,REVIEW_NEEDED,,,N/A,Contract,50,FAIL,0,No ref rate found in configuration; No PDF docs
