No,CWI Job Number,Order Ref. Number,S/No,RATE SOURCE,DESCRIPTION,RATE,Formula,Q'TY,TOTAL (USD),REV RATE,REV TOTAL,DIFFERENCE,Validation_Status,Ref_Rate_USD,Python_Delta,CG_Band,Charge_Group,Gate_Score,Gate_Status,PDF_Count,PDF_Matched_Description,PDF_Formula,PDF_Amount_AED,PDF_Amount_USD,PDF_Qty,PDF_Unit_Rate,PDF_Source_File,PDF_Matched_By,PDF_Confidence,PDF_Extraction_Status,Evidence_Summary,Validation_Notes
1,BAMF0017659,HVDC-ADOPT-SCT-0126,1,CONTRACT,MASTER DO FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,100,PASS,6,,,,,,,HVDC-ADOPT-SCT-0126_BOE.pdf,,0.0,Failed,"6 PDFs: HVDC-ADOPT-SCT-0126_BOE.pdf, HVDC-ADOPT-SCT-0126_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0126_DN (DSV-KP) Empty Return.pdf, ...","✅ Contract: Ref $150.00 from Config
✅ PDF Verified: 6 files (HVDC-ADOPT-SCT-0126_BOE.pdf, HVDC-ADOPT-SCT-0126_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0126_DN (DSV-KP) Empty Return.pdf)
✅ Delta: 0.0% (EXACT MATCH)"
2,BAMF0017659,HVDC-ADOPT-SCT-0126,2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,100,PASS,6,,,,,,,HVDC-ADOPT-SCT-0126_BOE.pdf,,0.0,Failed,"6 PDFs: HVDC-ADOPT-SCT-0126_BOE.pdf, HVDC-ADOPT-SCT-0126_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0126_DN (DSV-KP) Empty Return.pdf, ...","✅ Contract: Ref $150.00 from Config
✅ PDF Verified: 6 files (HVDC-ADOPT-SCT-0126_BOE.pdf, HVDC-ADOPT-SCT-0126_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0126_DN (DSV-KP) Empty Return.pdf)
✅ Delta: 0.0% (EXACT MATCH)"
3,BAMF0017659,HVDC-ADOPT-SCT-0126,3,CONTRACT,TERMINAL HANDLING FEE (1 X 20DC),372.0,,1,372.0,372.0,372.0,0.0,REVIEW_NEEDED,,,N/A,Contract,70,FAIL,6,,,,,,,HVDC-ADOPT-SCT-0126_BOE.pdf,,0.0,Failed,"6 PDFs: HVDC-ADOPT-SCT-0126_BOE.pdf, HVDC-ADOPT-SCT-0126_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0126_DN (DSV-KP) Empty Return.pdf, ...","✅ PDF Verified: 6 files (HVDC-ADOPT-SCT-0126_BOE.pdf, HVDC-ADOPT-SCT-0126_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0126_DN (DSV-KP) Empty Return.pdf)"
4,BAMF0017659,HVDC-ADOPT-SCT-0126,4,CONTRACT,TERMINAL HANDLING FEE (2 X 40HC),479.0,,2,958.0,479.0,958.0,0.0,REVIEW_NEEDED,,,N/A,Contract,70,FAIL,6,,,,,,,HVDC-ADOPT-SCT-0126_BOE.pdf,,0.0,Failed,"6 PDFs: HVDC-ADOPT-SCT-0126_BOE.pdf, HVDC-ADOPT-SCT-0126_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0126_DN (DSV-KP) Empty Return.pdf, ...","✅ PDF Verified: 6 files (HVDC-ADOPT-SCT-0126_BOE.pdf, HVDC-ADOPT-SCT-0126_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0126_DN (DSV-KP) Empty Return.pdf)"
5,BAMF0017659,HVDC-ADOPT-SCT-0126,5,CONTRACT,TRANSPORTATION CHARGES (1 X 20DC / 2 X 40HC) FROM KHALIFA PORT TO DSV MUSSAFAH YARD,252.0,,3,756.0,252.0,756.0,0.0,PASS,252.0,0.0,PASS,Contract,100,PASS,6,,,,,,,HVDC-ADOPT-SCT-0126_BOE.pdf,,0.0,Failed,"6 PDFs: HVDC-ADOPT-SCT-0126_BOE.pdf, HVDC-ADOPT-SCT-0126_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0126_DN (DSV-KP) Empty Return.pdf, ...","✅ Contract: Ref $252.00 from Config
✅ PDF Verified: 6 files (HVDC-ADOPT-SCT-0126_BOE.pdf, HVDC-ADOPT-SCT-0126_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0126_DN (DSV-KP) Empty Return.pdf)
✅ Delta: 0.0% (EXACT MATCH)"
6,BAMF0017659,HVDC-ADOPT-SCT-0126,6,CONTRACT,TRANSPORTATION CHARGES (1 X 20DC / 2 X 40HC) FROM DSV MUSSAFAH YARD TO KHALIFA PORT (EMPTY RETURN),252.0,,3,756.0,252.0,756.0,0.0,PASS,252.0,0.0,PASS,Contract,100,PASS,6,,,,,,,HVDC-ADOPT-SCT-0126_BOE.pdf,,0.0,Failed,"6 PDFs: HVDC-ADOPT-SCT-0126_BOE.pdf, HVDC-ADOPT-SCT-0126_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0126_DN (DSV-KP) Empty Return.pdf, ...","✅ Contract: Ref $252.00 from Config
✅ PDF Verified: 6 files (HVDC-ADOPT-SCT-0126_BOE.pdf, HVDC-ADOPT-SCT-0126_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0126_DN (DSV-KP) Empty Return.pdf)
✅ Delta: 0.0% (EXACT MATCH)"
7,BAMF0017659,HVDC-ADOPT-SCT-0126,7,AT COST,CARRIER CONTAINER RETURN SERVICE FEE,145.6773315180395,=535/3.6725,1,145.6773315180395,145.68,145.68,0.002668481960512281,PASS,145.68,-0.0,N/A,AtCost,70,FAIL,6,,=535/3.6725,,,,,HVDC-ADOPT-SCT-0126_BOE.pdf,,0.0,Failed,"6 PDFs: HVDC-ADOPT-SCT-0126_BOE.pdf, HVDC-ADOPT-SCT-0126_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0126_DN (DSV-KP) Empty Return.pdf, ...","✅ Ref Rate: $145.68
✅ PDF Verified: 6 files (HVDC-ADOPT-SCT-0126_BOE.pdf, HVDC-ADOPT-SCT-0126_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0126_DN (DSV-KP) Empty Return.pdf)
❌ CRITICAL: At Cost requires PDF verification - No PDF data found!
✅ Formula: =535/3.6725
✅ Delta: -0.0% (EXACT MATCH)"
8,BAMF0017659,HVDC-ADOPT-SCT-0126,8,AT COST,PORT CONTAINER ADMIN/INSPECTION FEE (1 X 20DC / 2 X 40HC),6.8073519400953035,=25/3.6725,3,20.422055820285912,6.81,20.43,0.00794417971408734,PASS,6.81,-0.04,N/A,AtCost,70,FAIL,6,,=25/3.6725,,,,,HVDC-ADOPT-SCT-0126_BOE.pdf,,0.0,Failed,"6 PDFs: HVDC-ADOPT-SCT-0126_BOE.pdf, HVDC-ADOPT-SCT-0126_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0126_DN (DSV-KP) Empty Return.pdf, ...","✅ Ref Rate: $6.81
✅ PDF Verified: 6 files (HVDC-ADOPT-SCT-0126_BOE.pdf, HVDC-ADOPT-SCT-0126_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0126_DN (DSV-KP) Empty Return.pdf)
❌ CRITICAL: At Cost requires PDF verification - No PDF data found!
✅ Formula: =25/3.6725
✅ Delta: -0.0% (EXACT MATCH)"
9,BAMF0017850,HVDC-ADOPT-SCT-0127,1,CONTRACT,MASTER DO FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,100,PASS,5,,,,,,,HVDC-ADOPT-SCT-0127_BOE.pdf,,0.0,Failed,"5 PDFs: HVDC-ADOPT-SCT-0127_BOE.pdf, HVDC-ADOPT-SCT-0127_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0127_DN.pdf, ...","✅ Contract: Ref $150.00 from Config
✅ PDF Verified: 5 files (HVDC-ADOPT-SCT-0127_BOE.pdf, HVDC-ADOPT-SCT-0127_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0127_DN.pdf)
✅ Delta: 0.0% (EXACT MATCH)"
10,BAMF0017850,HVDC-ADOPT-SCT-0127,2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,100,PASS,5,,,,,,,HVDC-ADOPT-SCT-0127_BOE.pdf,,0.0,Failed,"5 PDFs: HVDC-ADOPT-SCT-0127_BOE.pdf, HVDC-ADOPT-SCT-0127_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0127_DN.pdf, ...","✅ Contract: Ref $150.00 from Config
✅ PDF Verified: 5 files (HVDC-ADOPT-SCT-0127_BOE.pdf, HVDC-ADOPT-SCT-0127_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0127_DN.pdf)
✅ Delta: 0.0% (EXACT MATCH)"
11,BAMF0017850,HVDC-ADOPT-SCT-0127,3,CONTRACT,TERMINAL HANDLING FEE (1 X 20DC),372.0,,1,372.0,372.0,372.0,0.0,REVIEW_NEEDED,,,N/A,Contract,70,FAIL,5,,,,,,,HVDC-ADOPT-SCT-0127_BOE.pdf,,0.0,Failed,"5 PDFs: HVDC-ADOPT-SCT-0127_BOE.pdf, HVDC-ADOPT-SCT-0127_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0127_DN.pdf, ...","✅ PDF Verified: 5 files (HVDC-ADOPT-SCT-0127_BOE.pdf, HVDC-ADOPT-SCT-0127_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0127_DN.pdf)"
12,BAMF0017850,HVDC-ADOPT-SCT-0127,4,CONTRACT,TRANSPORTATION CHARGES (1 X 20DC) FROM KHALIFA PORT TO DSV MUSSAFAH YARD,252.0,,1,252.0,252.0,252.0,0.0,PASS,252.0,0.0,PASS,Contract,100,PASS,5,,,,,,,HVDC-ADOPT-SCT-0127_BOE.pdf,,0.0,Failed,"5 PDFs: HVDC-ADOPT-SCT-0127_BOE.pdf, HVDC-ADOPT-SCT-0127_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0127_DN.pdf, ...","✅ Contract: Ref $252.00 from Config
✅ PDF Verified: 5 files (HVDC-ADOPT-SCT-0127_BOE.pdf, HVDC-ADOPT-SCT-0127_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0127_DN.pdf)
✅ Delta: 0.0% (EXACT MATCH)"
13,BAMF0017850,HVDC-ADOPT-SCT-0127,5,AT COST,ISPS IMPORT FEE (1 X 20DC),10.0,,1,10.0,10.0,10.0,0.0,REVIEW_NEEDED,,,N/A,AtCost,70,FAIL,5,,,,,,,HVDC-ADOPT-SCT-0127_BOE.pdf,,0.0,Failed,"5 PDFs: HVDC-ADOPT-SCT-0127_BOE.pdf, HVDC-ADOPT-SCT-0127_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0127_DN.pdf, ...","✅ PDF Verified: 5 files (HVDC-ADOPT-SCT-0127_BOE.pdf, HVDC-ADOPT-SCT-0127_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0127_DN.pdf)
❌ CRITICAL: At Cost requires PDF verification - No PDF data found!"
14,BAMF0017850,HVDC-ADOPT-SCT-0127,6,AT COST,CARRIER CONTAINER MAINTENANCE FEE (1 X 20DC),47.65146358066712,=175/3.6725,1,47.65146358066712,47.65,47.65,-0.001463580667120823,PASS,47.65,0.0,N/A,AtCost,70,FAIL,5,,=175/3.6725,,,,,HVDC-ADOPT-SCT-0127_BOE.pdf,,0.0,Failed,"5 PDFs: HVDC-ADOPT-SCT-0127_BOE.pdf, HVDC-ADOPT-SCT-0127_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0127_DN.pdf, ...","✅ Ref Rate: $47.65
✅ PDF Verified: 5 files (HVDC-ADOPT-SCT-0127_BOE.pdf, HVDC-ADOPT-SCT-0127_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0127_DN.pdf)
❌ CRITICAL: At Cost requires PDF verification - No PDF data found!
✅ Formula: =175/3.6725
✅ Delta: 0.0% (EXACT MATCH)"
15,BAMF0017850,HVDC-ADOPT-SCT-0127,7,AT COST,PORT CONTAINER INSPECTION FEE (1 X 20DC),8.168822328114365,=30/3.6725,1,8.168822328114365,8.17,8.17,0.001177671885635334,PASS,8.17,-0.01,N/A,AtCost,70,FAIL,5,,=30/3.6725,,,,,HVDC-ADOPT-SCT-0127_BOE.pdf,,0.0,Failed,"5 PDFs: HVDC-ADOPT-SCT-0127_BOE.pdf, HVDC-ADOPT-SCT-0127_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0127_DN.pdf, ...","✅ Ref Rate: $8.17
✅ PDF Verified: 5 files (HVDC-ADOPT-SCT-0127_BOE.pdf, HVDC-ADOPT-SCT-0127_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0127_DN.pdf)
❌ CRITICAL: At Cost requires PDF verification - No PDF data found!
✅ Formula: =30/3.6725
✅ Delta: -0.0% (EXACT MATCH)"
16,BAMF0016623,HVDC-ADOPT-SCT-0038,1,CONTRACT,PORT CONTAINER REPAIR FEES (KOCU4717043),49.01,=180/3.6725,1,49.01,49.01,49.01,0.0,REVIEW_NEEDED,,,N/A,Contract,60,FAIL,1,,=180/3.6725,,,,,HVDC-ADOPT-SCT-0038-CNTRepair.pdf,,0.0,Failed,1 PDFs: HVDC-ADOPT-SCT-0038-CNTRepair.pdf,"✅ PDF Verified: 1 files (HVDC-ADOPT-SCT-0038-CNTRepair.pdf)
✅ Formula: =180/3.6725"
17,BAMF0017824,HVDC-ADOPT-SCT-0122,1,CONTRACT,MASTER DO FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,100,PASS,5,,,,,,,HVDC-ADOPT-SCT-0122_BOE.pdf,,0.0,Failed,"5 PDFs: HVDC-ADOPT-SCT-0122_BOE.pdf, HVDC-ADOPT-SCT-0122_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0122_DN.pdf, ...","✅ Contract: Ref $150.00 from Config
✅ PDF Verified: 5 files (HVDC-ADOPT-SCT-0122_BOE.pdf, HVDC-ADOPT-SCT-0122_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0122_DN.pdf)
✅ Delta: 0.0% (EXACT MATCH)"
