row_idx,best_n,score,dn_index,shipment_ref,filename
0,1,1.0,1,HVDC-DSV-SKM-MOSB-212,HVDC-DSV-SKM-MOSB-212_DN.pdf
0,2,1.0,6,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DN (MOSB-DSV).pdf
1,1,0.9,1,HVDC-DSV-SKM-MOSB-212,HVDC-DSV-SKM-MOSB-212_DN.pdf
1,2,0.9,6,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DN (MOSB-DSV).pdf
2,1,0.55,3,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DAS_DN (DSV-MOSB).pdf
2,2,0.55,10,HVDC-DSV-SAS-MOSB-217,HVDC-DSV-SAS-MOSB-217_DN.pdf
2,3,0.55,11,HVDC-ADOPT-HE-0487,HVDC-ADOPT-HE-0487_DN.pdf
3,1,0.775,25,HVDC-DSV-PRE-MIR-SHU-230,HVDC-DSV-PRE-MIR-SHU-230_DN (Prestige-Mirfa).pdf
3,2,0.55,4,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DN (DSV-MIRFA).pdf
3,3,0.55,13,HVDC-DSV-MOSB-MIR-220,HVDC-DSV-MOSB-MIR-220_DN (M44-MIRFA).pdf
4,1,0.775,26,HVDC-DSV-PRE-MIR-SHU-230,HVDC-DSV-PRE-MIR-SHU-230_DN (Prestige-Shuweihat).pdf
4,2,0.55,5,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DN (DSV-SHU).pdf
4,3,0.5,18,HVDC-DSV-HE-SHU-199,HVDC-DSV-HE-SHU-199_DN.pdf
5,1,0.775,25,HVDC-DSV-PRE-MIR-SHU-230,HVDC-DSV-PRE-MIR-SHU-230_DN (Prestige-Mirfa).pdf
5,2,0.55,4,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DN (DSV-MIRFA).pdf
5,3,0.55,13,HVDC-DSV-MOSB-MIR-220,HVDC-DSV-MOSB-MIR-220_DN (M44-MIRFA).pdf
6,1,1.0,1,HVDC-DSV-SKM-MOSB-212,HVDC-DSV-SKM-MOSB-212_DN.pdf
6,2,1.0,6,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DN (MOSB-DSV).pdf
7,1,0.7,5,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DN (DSV-SHU).pdf
7,2,0.55,26,HVDC-DSV-PRE-MIR-SHU-230,HVDC-DSV-PRE-MIR-SHU-230_DN (Prestige-Shuweihat).pdf
7,3,0.5,18,HVDC-DSV-HE-SHU-199,HVDC-DSV-HE-SHU-199_DN.pdf
8,1,0.7,3,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DAS_DN (DSV-MOSB).pdf
8,2,0.7,11,HVDC-ADOPT-HE-0487,HVDC-ADOPT-HE-0487_DN.pdf
8,3,0.55,10,HVDC-DSV-SAS-MOSB-217,HVDC-DSV-SAS-MOSB-217_DN.pdf
9,1,0.7,4,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DN (DSV-MIRFA).pdf
9,2,0.55,13,HVDC-DSV-MOSB-MIR-220,HVDC-DSV-MOSB-MIR-220_DN (M44-MIRFA).pdf
9,3,0.55,14,HVDC-DSV-MOSB-MIR-220,HVDC-DSV-MOSB-MIR-220_DN (MARKAZ-MIRFA).pdf
10,1,0.6125,7,HVDC-DSV-MOSB-SHU-216,HVDC-DSV-MOSB-SHU-216_DN.pdf
10,2,0.6,5,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DN (DSV-SHU).pdf
10,3,0.45,1,HVDC-DSV-SKM-MOSB-212,HVDC-DSV-SKM-MOSB-212_DN.pdf
11,1,0.7,5,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DN (DSV-SHU).pdf
11,2,0.55,26,HVDC-DSV-PRE-MIR-SHU-230,HVDC-DSV-PRE-MIR-SHU-230_DN (Prestige-Shuweihat).pdf
11,3,0.5,18,HVDC-DSV-HE-SHU-199,HVDC-DSV-HE-SHU-199_DN.pdf
12,1,0.75,9,HVDC-DSV-MOSB-MIR-219,HVDC-DSV-MOSB-MIR-219_DN.pdf
12,2,0.7,4,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DN (DSV-MIRFA).pdf
12,3,0.6625,13,HVDC-DSV-MOSB-MIR-220,HVDC-DSV-MOSB-MIR-220_DN (M44-MIRFA).pdf
13,1,0.6625,10,HVDC-DSV-SAS-MOSB-217,HVDC-DSV-SAS-MOSB-217_DN.pdf
13,2,0.6625,30,HVDC-DSV-HE-AGI-233,HVDC-DSV-HE-AGI-233_DN.pdf
13,3,0.55,3,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DAS_DN (DSV-MOSB).pdf
14,1,0.7,3,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DAS_DN (DSV-MOSB).pdf
14,2,0.7,11,HVDC-ADOPT-HE-0487,HVDC-ADOPT-HE-0487_DN.pdf
14,3,0.55,10,HVDC-DSV-SAS-MOSB-217,HVDC-DSV-SAS-MOSB-217_DN.pdf
15,1,0.775,12,HVDC-MIR-DSV-221,HVDC-MIR-DSV-221_DN.pdf
15,2,0.55,19,HVDC-DSV-HE-MIR-TEC-224,HVDC-DSV-HE-MIR-TEC-224_DNs.pdf
16,1,0.55,4,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DN (DSV-MIRFA).pdf
16,2,0.55,13,HVDC-DSV-MOSB-MIR-220,HVDC-DSV-MOSB-MIR-220_DN (M44-MIRFA).pdf
16,3,0.55,14,HVDC-DSV-MOSB-MIR-220,HVDC-DSV-MOSB-MIR-220_DN (MARKAZ-MIRFA).pdf
17,1,0.55,4,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DN (DSV-MIRFA).pdf
17,2,0.55,13,HVDC-DSV-MOSB-MIR-220,HVDC-DSV-MOSB-MIR-220_DN (M44-MIRFA).pdf
17,3,0.55,14,HVDC-DSV-MOSB-MIR-220,HVDC-DSV-MOSB-MIR-220_DN (MARKAZ-MIRFA).pdf
18,1,0.6,3,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DAS_DN (DSV-MOSB).pdf
18,2,0.6,11,HVDC-ADOPT-HE-0487,HVDC-ADOPT-HE-0487_DN.pdf
18,3,0.5,15,HVDC-DSV-MOSB-222,HVDC-DSV-MOSB-222_DN.pdf
19,1,0.5,15,HVDC-DSV-MOSB-222,HVDC-DSV-MOSB-222_DN.pdf
19,2,0.45,3,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DAS_DN (DSV-MOSB).pdf
19,3,0.45,10,HVDC-DSV-SAS-MOSB-217,HVDC-DSV-SAS-MOSB-217_DN.pdf
21,1,0.55,3,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DAS_DN (DSV-MOSB).pdf
21,2,0.55,10,HVDC-DSV-SAS-MOSB-217,HVDC-DSV-SAS-MOSB-217_DN.pdf
21,3,0.55,11,HVDC-ADOPT-HE-0487,HVDC-ADOPT-HE-0487_DN.pdf
22,1,0.6625,10,HVDC-DSV-SAS-MOSB-217,HVDC-DSV-SAS-MOSB-217_DN.pdf
22,2,0.6625,30,HVDC-DSV-HE-AGI-233,HVDC-DSV-HE-AGI-233_DN.pdf
22,3,0.55,3,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DAS_DN (DSV-MOSB).pdf
23,1,0.7,18,HVDC-DSV-HE-SHU-199,HVDC-DSV-HE-SHU-199_DN.pdf
23,2,0.5,5,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DN (DSV-SHU).pdf
23,3,0.5,26,HVDC-DSV-PRE-MIR-SHU-230,HVDC-DSV-PRE-MIR-SHU-230_DN (Prestige-Shuweihat).pdf
24,1,0.85,19,HVDC-DSV-HE-MIR-TEC-224,HVDC-DSV-HE-MIR-TEC-224_DNs.pdf
24,2,0.55,12,HVDC-MIR-DSV-221,HVDC-MIR-DSV-221_DN.pdf
25,1,0.75,9,HVDC-DSV-MOSB-MIR-219,HVDC-DSV-MOSB-MIR-219_DN.pdf
25,2,0.7,4,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DN (DSV-MIRFA).pdf
25,3,0.6625,13,HVDC-DSV-MOSB-MIR-220,HVDC-DSV-MOSB-MIR-220_DN (M44-MIRFA).pdf
26,1,0.7,3,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DAS_DN (DSV-MOSB).pdf
26,2,0.7,11,HVDC-ADOPT-HE-0487,HVDC-ADOPT-HE-0487_DN.pdf
26,3,0.55,10,HVDC-DSV-SAS-MOSB-217,HVDC-DSV-SAS-MOSB-217_DN.pdf
27,1,0.5625,10,HVDC-DSV-SAS-MOSB-217,HVDC-DSV-SAS-MOSB-217_DN.pdf
27,2,0.5625,30,HVDC-DSV-HE-AGI-233,HVDC-DSV-HE-AGI-233_DN.pdf
27,3,0.5,15,HVDC-DSV-MOSB-222,HVDC-DSV-MOSB-222_DN.pdf
28,1,0.775,25,HVDC-DSV-PRE-MIR-SHU-230,HVDC-DSV-PRE-MIR-SHU-230_DN (Prestige-Mirfa).pdf
28,2,0.55,4,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DN (DSV-MIRFA).pdf
28,3,0.55,13,HVDC-DSV-MOSB-MIR-220,HVDC-DSV-MOSB-MIR-220_DN (M44-MIRFA).pdf
29,1,0.775,26,HVDC-DSV-PRE-MIR-SHU-230,HVDC-DSV-PRE-MIR-SHU-230_DN (Prestige-Shuweihat).pdf
29,2,0.55,5,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DN (DSV-SHU).pdf
29,3,0.5,18,HVDC-DSV-HE-SHU-199,HVDC-DSV-HE-SHU-199_DN.pdf
30,1,0.55,5,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DN (DSV-SHU).pdf
30,2,0.55,26,HVDC-DSV-PRE-MIR-SHU-230,HVDC-DSV-PRE-MIR-SHU-230_DN (Prestige-Shuweihat).pdf
30,3,0.5,18,HVDC-DSV-HE-SHU-199,HVDC-DSV-HE-SHU-199_DN.pdf
31,1,0.7,3,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DAS_DN (DSV-MOSB).pdf
31,2,0.7,11,HVDC-ADOPT-HE-0487,HVDC-ADOPT-HE-0487_DN.pdf
31,3,0.55,10,HVDC-DSV-SAS-MOSB-217,HVDC-DSV-SAS-MOSB-217_DN.pdf
33,1,0.775,25,HVDC-DSV-PRE-MIR-SHU-230,HVDC-DSV-PRE-MIR-SHU-230_DN (Prestige-Mirfa).pdf
33,2,0.55,4,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DN (DSV-MIRFA).pdf
33,3,0.55,13,HVDC-DSV-MOSB-MIR-220,HVDC-DSV-MOSB-MIR-220_DN (M44-MIRFA).pdf
34,1,0.775,26,HVDC-DSV-PRE-MIR-SHU-230,HVDC-DSV-PRE-MIR-SHU-230_DN (Prestige-Shuweihat).pdf
34,2,0.55,5,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DN (DSV-SHU).pdf
34,3,0.5,18,HVDC-DSV-HE-SHU-199,HVDC-DSV-HE-SHU-199_DN.pdf
35,1,0.7,3,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DAS_DN (DSV-MOSB).pdf
35,2,0.7,11,HVDC-ADOPT-HE-0487,HVDC-ADOPT-HE-0487_DN.pdf
35,3,0.55,10,HVDC-DSV-SAS-MOSB-217,HVDC-DSV-SAS-MOSB-217_DN.pdf
36,1,0.52,5,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DN (DSV-SHU).pdf
36,2,0.43000000000000005,4,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DN (DSV-MIRFA).pdf
37,1,0.675,7,HVDC-DSV-MOSB-SHU-216,HVDC-DSV-MOSB-SHU-216_DN.pdf
37,2,0.45,5,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DN (DSV-SHU).pdf
37,3,0.45,18,HVDC-DSV-HE-SHU-199,HVDC-DSV-HE-SHU-199_DN.pdf
38,1,0.5,15,HVDC-DSV-MOSB-222,HVDC-DSV-MOSB-222_DN.pdf
