shipment_ref,origin,destination,origin_norm,destination_norm,vehicle,vehicle_norm,unit,rate_usd,ref_rate_usd,delta_pct,cg_band,contract_ok,supplier_grade,supplier_tol_ok,distance_km,ref_distance_km,per_km,anomaly_z,anomaly_flag,similarity,similarity_pass,confidence,ml_confidence,risk_score,fx_msg,decision,flags,amount_usd,quantity,currency,completeness,join_key,delta_abs,fx_ok,automation_ready
HVDC-DSV-SKM-MOSB-212,SAMSUNG MOSB YARD,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,DSV Mussafah Yard,FLATBED,FLATBED,per truck,200.0,200.0,0.0,PASS,True,A,True,0,10.0,,,0,0.7274509803921568,True,0.8637254901960785,0.8637254901960785,0.0,USD_OK,PASS,,0.0,1.0,USD,1.0,SAMSUNG MOSB YARD→DSV MUSSAFAH YARD|FLATBED|per truck,0.0,True,False
HVDC-DSV-SKM-MOSB-212,SAMSUNG MOSB YARD,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,DSV Mussafah Yard,LOWBED,LOWBED,per truck,599.0469707283867,200.0,199.52348536419333,CRITICAL,False,A,False,0,10.0,,,0,0.5889894419306184,False,0.4944947209653092,0.4944947209653092,0.7980939414567734,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,6.0,USD,1.0,SAMSUNG MOSB YARD→DSV MUSSAFAH YARD|LOWBED|per truck,199.52348536419333,True,False
HVDC-DSV-PRE-MIR/SHU/DAS/AGI-213,PRESTIGE MUSSAFAH,SAMSUNG MOSB YARD,DSV Mussafah Yard,SAMSUNG MOSB YARD,FLATBED,FLATBED,per truck,200.0,617.0,-67.58508914100486,CRITICAL,False,A,False,0,11.4,,,0,0.5796561085972851,False,0.48982805429864257,0.48982805429864257,0.27034035656401945,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,DSV MUSSAFAH YARD→SAMSUNG MOSB YARD|FLATBED|per truck,67.58508914100486,True,False
HVDC-DSV-PRE-MIR/SHU/DAS/AGI-213,PRESTIGE MUSSAFAH,MIRFA PMO SAMSUNG,DSV Mussafah Yard,MIRFA SITE,FLATBED,FLATBED,per truck,210.0,420.0,-50.0,CRITICAL,False,A,False,0,120.0,,,0,1.0,True,0.7,0.7,0.2,USD_OK,FAIL,AUTO_FAIL,0.0,1.0,USD,1.0,DSV MUSSAFAH YARD→MIRFA SITE|FLATBED|per truck,50.0,True,False
HVDC-DSV-PRE-MIR/SHU/DAS/AGI-213,PRESTIGE MUSSAFAH,SHUWEIHAT POWER STATION,DSV Mussafah Yard,SHUWEIHAT Site,FLATBED,FLATBED,per truck,600.0,600.0,0.0,PASS,True,A,True,0,240.0,,,0,1.0,True,1.0,1.0,0.0,USD_OK,PASS,,0.0,2.0,USD,1.0,DSV MUSSAFAH YARD→SHUWEIHAT SITE|FLATBED|per truck,0.0,True,True
HVDC-DSV-PRE-MIR-214,PRESTIGE MUSSAFAH,MIRFA PMO SAMSUNG,DSV Mussafah Yard,MIRFA SITE,FLATBED (CICPA),FLATBED (CICPA),per truck,420.0,420.0,0.0,PASS,True,A,True,0,120.0,,,0,0.8636363636363635,True,0.9318181818181817,0.9318181818181817,0.0,USD_OK,PASS,,0.0,1.0,USD,1.0,DSV MUSSAFAH YARD→MIRFA SITE|FLATBED (CICPA)|per truck,0.0,True,False
"HVDC-ADOPT-SCT-0126, HVDC-ADOPT-SCT-0126_DAS",SAMSUNG MOSB YARD,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,DSV Mussafah Yard,FLATBED,FLATBED,per truck,200.0,200.0,0.0,PASS,True,A,True,0,10.0,,,0,0.7274509803921568,True,0.8637254901960785,0.8637254901960785,0.0,USD_OK,PASS,,0.0,1.0,USD,1.0,SAMSUNG MOSB YARD→DSV MUSSAFAH YARD|FLATBED|per truck,0.0,True,False
"HVDC-ADOPT-SCT-0126, HVDC-ADOPT-SCT-0126_DAS",DSV MUSSAFAH YARD,SHUWEIHAT POWER STATION,DSV Mussafah Yard,SHUWEIHAT Site,FLATBED,FLATBED,per truck,600.0,600.0,0.0,PASS,True,A,True,0,240.0,,,0,1.0,True,1.0,1.0,0.0,USD_OK,PASS,,0.0,3.0,USD,1.0,DSV MUSSAFAH YARD→SHUWEIHAT SITE|FLATBED|per truck,0.0,True,True
"HVDC-ADOPT-SCT-0126, HVDC-ADOPT-SCT-0126_DAS",DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,DSV Mussafah Yard,SAMSUNG MOSB YARD,FLATBED,FLATBED,per truck,200.0,617.0,-67.58508914100486,CRITICAL,False,A,False,0,11.4,,,0,0.5796561085972851,False,0.48982805429864257,0.48982805429864257,0.27034035656401945,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,4.0,USD,1.0,DSV MUSSAFAH YARD→SAMSUNG MOSB YARD|FLATBED|per truck,67.58508914100486,True,False
"HVDC-ADOPT-SCT-0126, HVDC-ADOPT-SCT-0126_DAS",DSV MUSSAFAH YARD,MIRFA PMO SAMSUNG,DSV Mussafah Yard,MIRFA SITE,FLATBED,FLATBED,per truck,420.0,420.0,0.0,PASS,True,A,True,0,120.0,,,0,1.0,True,1.0,1.0,0.0,USD_OK,PASS,,0.0,4.0,USD,1.0,DSV MUSSAFAH YARD→MIRFA SITE|FLATBED|per truck,0.0,True,True
HVDC-DSV-MOSB-SHU-216,SAMSUNG MOSB YARD,SHUWEIHAT POWER STATION,SAMSUNG MOSB YARD,SHUWEIHAT Site,3 TON PU,3 TON PU,per truck,210.0,600.0,-65.0,CRITICAL,False,A,False,0,240.0,,,0,0.5074509803921569,False,0.45372549019607844,0.45372549019607844,0.26,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,SAMSUNG MOSB YARD→SHUWEIHAT SITE|3 TON PU|per truck,65.0,True,False
HVDC-DSV-SHU-218,DSV MUSSAFAH YARD,SHUWEIHAT POWER STATION,DSV Mussafah Yard,SHUWEIHAT Site,FLATBED,FLATBED,per truck,600.0,600.0,0.0,PASS,True,A,True,0,240.0,,,0,1.0,True,1.0,1.0,0.0,USD_OK,PASS,,0.0,1.0,USD,1.0,DSV MUSSAFAH YARD→SHUWEIHAT SITE|FLATBED|per truck,0.0,True,True
