No,Shipment Invoice No.,SCT Ref.No,Site,EQ No,Case No.,Pkg,Storage,Description,L(CM),W(CM),H(CM),CBM,N.W(kgs),G.W(kgs),Stack,HS Code,Currency,Price,Vessel,COE,POL,POD,ETD/ATD,ETA/ATA,DSV Indoor,DSV Al Markaz,DSV Outdoor,Hauler Indoor,DSV MZP,MOSB,Shifting,MIR,SHU,DAS,AGI,Source_Sheet,Vendor,DHL WH,JDN MZD,AAA Storage,Status_WAREHOUSE,Status_SITE,Status_Current,Status_Location,Status_Location_Date,Status_Storage,wh_handling_legacy,site handling,total handling,minus,final handling,SQM,Stack_Status,Source_File,HAULER,Status_Location_YearMonth,site_handling_original,total_handling_original,wh_handling_original,FLOW_CODE,FLOW_DESCRIPTION,Final_Location,입고일자
1,PRL-SHU-025-O,HVDC-ADOPT-HE-0214,SHU,EQ-001,191221,1,Indoor,Capacitor,120.0,80.0,100.0,0.96,450.0,500.0,Stackable x4,85322900,SEK,22270.0,MSC GIUSY,SWEDEN,Gothenburg,Khalifa port,2024-09-26,2024-11-16,,,,,,,,,,,,"HE-0214,0252 (Capacitor)",HITACHI,2024-11-18,,,1.0,,warehouse,DHL WH,2024-11-18,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DHL WH,
1,PRL-CS-022-O,,SHU,EQ-307,191385,1,Indoor heated,CL-S1-Shuweihat- MCC-1,425.0,90.0,255.0,97.5375,2350.0,2400.0,,,,,,,,,,,2024-11-06,,,,,,,,,,,HE Local,HITACHI,,,,1.0,,warehouse,DSV Indoor,2024-11-06,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
1,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,DAS,EQ-001,207721,1,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,85044083,SEK,433859.0,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,2024-01-19,,,,,,,2025-05-13,,"Case List, RIL",HITACHI,,,,1.0,1.0,site,DAS,2025-05-13,site,1,1,2,0,2,,,HITACHI(HE),,,1,2,1,2,Port → WH → Site,DAS,
2,PRL-SHU-025-O,HVDC-ADOPT-HE-0214,SHU,EQ-001,191222,1,Indoor,Capacitor,120.0,80.0,100.0,0.96,450.0,500.0,Stackable x4,85322900,SEK,22270.0,MSC GIUSY,SWEDEN,Gothenburg,Khalifa port,2024-09-26,2024-11-16,,,,,,,,,,,,"HE-0214,0252 (Capacitor)",HITACHI,2024-11-18,,,1.0,,warehouse,DHL WH,2024-11-18,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DHL WH,
2,PRL-CS-022-O,,SHU,EQ-307,191386,1,Indoor heated,CL-S1-Shuweihat- MCC-2,425.0,90.0,255.0,97.5375,2350.0,2400.0,,,,,,,,,,,2024-11-06,,,,,,,,,,,HE Local,HITACHI,,,,1.0,,warehouse,DSV Indoor,2024-11-06,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
2,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,DAS,EQ-001,207722,1,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,85044083,SEK,433859.0,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,2024-01-19,,,,,,,2025-05-13,,"Case List, RIL",HITACHI,,,,1.0,1.0,site,DAS,2025-05-13,site,1,1,2,0,2,,,HITACHI(HE),,,1,2,1,2,Port → WH → Site,DAS,
3,PRL-SHU-025-O,HVDC-ADOPT-HE-0214,SHU,EQ-001,191223,1,Indoor,Capacitor,120.0,80.0,100.0,0.96,450.0,500.0,Stackable x4,85322900,SEK,22270.0,MSC GIUSY,SWEDEN,Gothenburg,Khalifa port,2024-09-26,2024-11-16,,,,,,,,,,,,"HE-0214,0252 (Capacitor)",HITACHI,2024-11-18,,,1.0,,warehouse,DHL WH,2024-11-18,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DHL WH,
3,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,DAS,EQ-001,207723,1,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,85044083,SEK,433859.0,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,2024-01-19,,,,,,,2025-05-13,,"Case List, RIL",HITACHI,,,,1.0,1.0,site,DAS,2025-05-13,site,1,1,2,0,2,,,HITACHI(HE),,,1,2,1,2,Port → WH → Site,DAS,
3,PRL-CS-022-O,,DAS,EQ-307,208622,1,Indoor heated,CL-S2-Das- MCC-1,425.0,90.0,255.0,97.5375,2350.0,2400.0,,,,,,,,,,,2024-11-06,,,,,,,,,2025-07-21,,HE Local,HITACHI,,,,1.0,1.0,site,DAS,2025-07-21,site,1,1,2,0,2,,,HITACHI(HE),,,1,2,1,2,Port → WH → Site,DAS,
4,PRL-SHU-025-O,HVDC-ADOPT-HE-0214,SHU,EQ-001,191224,1,Indoor,Capacitor,120.0,80.0,100.0,0.96,450.0,500.0,Stackable x4,85322900,SEK,22270.0,MSC GIUSY,SWEDEN,Gothenburg,Khalifa port,2024-09-26,2024-11-16,,,,,,,,,,,,"HE-0214,0252 (Capacitor)",HITACHI,2024-11-18,,,1.0,,warehouse,DHL WH,2024-11-18,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DHL WH,
4,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,DAS,EQ-001,207724,1,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,85044083,SEK,433859.0,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,2024-01-19,,,,,,,2025-05-13,,"Case List, RIL",HITACHI,,,,1.0,1.0,site,DAS,2025-05-13,site,1,1,2,0,2,,,HITACHI(HE),,,1,2,1,2,Port → WH → Site,DAS,
4,PRL-CS-022-O,,DAS,EQ-307,208623,1,Indoor heated,CL-S2-Das- MCC-2,425.0,90.0,255.0,97.5375,2350.0,2400.0,,,,,,,,,,,2024-11-06,,,,,,,,,2025-07-21,,HE Local,HITACHI,,,,1.0,1.0,site,DAS,2025-07-21,site,1,1,2,0,2,,,HITACHI(HE),,,1,2,1,2,Port → WH → Site,DAS,
5,PRL-SHU-025-O,HVDC-ADOPT-HE-0214,SHU,EQ-001,191225,1,Indoor,Capacitor,120.0,80.0,100.0,0.96,450.0,500.0,Stackable x4,85322900,SEK,22270.0,MSC GIUSY,SWEDEN,Gothenburg,Khalifa port,2024-09-26,2024-11-16,,,,,,,,,,,,"HE-0214,0252 (Capacitor)",HITACHI,2024-11-18,,,1.0,,warehouse,DHL WH,2024-11-18,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DHL WH,
5,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,DAS,EQ-001,207725,1,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,85044083,SEK,433859.0,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,2024-01-19,,,,,,,2025-05-13,,"Case List, RIL",HITACHI,,,,1.0,1.0,site,DAS,2025-05-13,site,1,1,2,0,2,,,HITACHI(HE),,,1,2,1,2,Port → WH → Site,DAS,
5,PRL-CS-022-O,,MIR,EQ-307,280180,1,Indoor heated,CL-S2-Mirfa- MCC-1,425.0,90.0,255.0,97.5375,2350.0,2400.0,,,,,,,,,,,2024-11-06,,,,,,,,,,,HE Local,HITACHI,,,,1.0,,warehouse,DSV Indoor,2024-11-06,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
6,PRL-SHU-025-O,HVDC-ADOPT-HE-0214,SHU,EQ-001,191226,1,Indoor,Capacitor,120.0,80.0,100.0,0.96,450.0,500.0,Stackable x4,85322900,SEK,22270.0,MSC GIUSY,SWEDEN,Gothenburg,Khalifa port,2024-09-26,2024-11-16,,,,,,,,,,,,"HE-0214,0252 (Capacitor)",HITACHI,2024-11-18,,,1.0,,warehouse,DHL WH,2024-11-18,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DHL WH,
6,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,DAS,EQ-001,207726,1,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,85044083,SEK,433859.0,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,2024-01-19,,,,,,,2025-05-13,,"Case List, RIL",HITACHI,,,,1.0,1.0,site,DAS,2025-05-13,site,1,1,2,0,2,,,HITACHI(HE),,,1,2,1,2,Port → WH → Site,DAS,
6,PRL-CS-022-O,,MIR,EQ-307,280181,1,Indoor heated,CL-S2-Mirfa- MCC-2,425.0,90.0,255.0,97.5375,2350.0,2400.0,,,,,,,,,,,2024-11-06,,,,,,,,,,,HE Local,HITACHI,,,,1.0,,warehouse,DSV Indoor,2024-11-06,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
7,PRL-SHU-025-O,HVDC-ADOPT-HE-0214,SHU,EQ-001,191227,1,Indoor,Capacitor,120.0,80.0,100.0,0.96,450.0,500.0,Stackable x4,85322900,SEK,22270.0,MSC GIUSY,SWEDEN,Gothenburg,Khalifa port,2024-09-26,2024-11-16,,,,,,,,,,,,"HE-0214,0252 (Capacitor)",HITACHI,2024-11-18,,,1.0,,warehouse,DHL WH,2024-11-18,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DHL WH,
7,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,DAS,EQ-001,207727,1,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,85044083,SEK,433859.0,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,2024-01-19,,,,,,,2025-05-13,,"Case List, RIL",HITACHI,,,,1.0,1.0,site,DAS,2025-05-13,site,1,1,2,0,2,,,HITACHI(HE),,,1,2,1,2,Port → WH → Site,DAS,
7,PRL-CS-022-O,,AGI,EQ-307,365627,1,Indoor heated,CL-S2-Al Ghallan- MCC-1,425.0,90.0,255.0,97.5375,2350.0,2400.0,,,,,,,,,,,2024-11-06,,,,,,,,,,,HE Local,HITACHI,,,,1.0,,warehouse,DSV Indoor,2024-11-06,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
8,PRL-SHU-025-O,HVDC-ADOPT-HE-0214,SHU,EQ-001,191228,1,Indoor,Capacitor,120.0,80.0,100.0,0.96,450.0,500.0,Stackable x4,85322900,SEK,22270.0,MSC GIUSY,SWEDEN,Gothenburg,Khalifa port,2024-09-26,2024-11-16,,,,,,,,,,,,"HE-0214,0252 (Capacitor)",HITACHI,2024-11-18,,,1.0,,warehouse,DHL WH,2024-11-18,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DHL WH,
8,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,DAS,EQ-001,207728,1,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,85044083,SEK,433859.0,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,2024-01-19,,,,,,,2025-05-13,,"Case List, RIL",HITACHI,,,,1.0,1.0,site,DAS,2025-05-13,site,1,1,2,0,2,,,HITACHI(HE),,,1,2,1,2,Port → WH → Site,DAS,
8,PRL-CS-022-O,,AGI,EQ-307,365628,1,Indoor heated,CL-S2-Al Ghallan- MCC-2,425.0,90.0,255.0,97.5375,2350.0,2400.0,,,,,,,,,,,2024-11-06,,,,,,,,,,,HE Local,HITACHI,,,,1.0,,warehouse,DSV Indoor,2024-11-06,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
