s_no,sheet_name,description,rate_source,unit_rate,quantity,total_usd,status,flag,delta_pct,cg_band,charge_group,issues,tolerance,ref_rate_usd,doc_aed,gate_status,gate_score,gate_fails,supporting_docs_list,evidence_count,evidence_types
1,SCT0136,MASTER DO FEE,CONTRACT,80.0,1.0,80.0,FAIL,CRITICAL,-46.67,CRITICAL,Contract,['Contract 과다/과소 청구: Delta -46.67% (Ref: $150.0)'],0.03,150.0,,FAIL,83.3,Gate_01,"[{'file_name': '01. HVDC-ADOPT-SCT-0136_SupportingDocs.pdf', 'file_path': 'C:\\Users\\SAMSUNG\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001-20251013T035444Z-1-001\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202510\\SCNT (HVDC) Import Shipments (Oct 2025) - Supporting Documents\\01. HVDC-ADOPT-SCT-0136_SupportingDocs.pdf', 'doc_type': 'DO', 'file_size': 252514, 'parsed_data': {'header': {'doc_type': 'DO', 'doc_number': None, 'doc_date': None, 'item_code': 'HVDC-ADOPT-SCT-0136', 'file_path': 'C:\\Users\\SAMSUNG\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001-20251013T035444Z-1-001\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202510\\SCNT (HVDC) Import Shipments (Oct 2025) - Supporting Documents\\01. HVDC-ADOPT-SCT-0136_SupportingDocs.pdf', 'file_hash': '9fe4ce7d0f59b7d8fb45cd914664f16b771f5dfa3c3e46158147708e46c740b7', 'parsed_at': '2025-11-04T07:25:29.449830'}, 'do_number': None, 'do_date': None, 'delivery_valid_until': None, 'mbl_no': None, 'hbl_no': None, 'vessel': None, 'voyage_no': None, 'manifest_reg_no': None, 'containers': None, 'quantity': 2, 'weight_kg': None, 'volume_cbm': None, 'description': None, 'marks_numbers': None, 'importer': None, 'consignee': None, 'shipping_line': None, 'agent_code': None, 'port_origin': None, 'port_loading': None, 'port_discharge': None, 'ocean_freight_usd': None, 'empty_return_depot': None, 'empty_return_location': None}, 'parsing_error': None, 'do_number': None, 'mbl_no': None, 'containers': []}]",1,['DO']
2,SCT0136,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,83.3,Gate_01,"[{'file_name': '01. HVDC-ADOPT-SCT-0136_SupportingDocs.pdf', 'file_path': 'C:\\Users\\SAMSUNG\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001-20251013T035444Z-1-001\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202510\\SCNT (HVDC) Import Shipments (Oct 2025) - Supporting Documents\\01. HVDC-ADOPT-SCT-0136_SupportingDocs.pdf', 'doc_type': 'DO', 'file_size': 252514, 'parsed_data': {'header': {'doc_type': 'DO', 'doc_number': None, 'doc_date': None, 'item_code': 'HVDC-ADOPT-SCT-0136', 'file_path': 'C:\\Users\\SAMSUNG\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001-20251013T035444Z-1-001\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202510\\SCNT (HVDC) Import Shipments (Oct 2025) - Supporting Documents\\01. HVDC-ADOPT-SCT-0136_SupportingDocs.pdf', 'file_hash': '9fe4ce7d0f59b7d8fb45cd914664f16b771f5dfa3c3e46158147708e46c740b7', 'parsed_at': '2025-11-04T07:25:29.449830'}, 'do_number': None, 'do_date': None, 'delivery_valid_until': None, 'mbl_no': None, 'hbl_no': None, 'vessel': None, 'voyage_no': None, 'manifest_reg_no': None, 'containers': None, 'quantity': 2, 'weight_kg': None, 'volume_cbm': None, 'description': None, 'marks_numbers': None, 'importer': None, 'consignee': None, 'shipping_line': None, 'agent_code': None, 'port_origin': None, 'port_loading': None, 'port_discharge': None, 'ocean_freight_usd': None, 'empty_return_depot': None, 'empty_return_location': None}, 'parsing_error': None, 'do_number': None, 'mbl_no': None, 'containers': []}]",1,['DO']
3,SCT0136,AIRPORT TERMINAL HANDLING FEE,CONTRACT,0.55,546.0,300.3,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,,,FAIL,83.3,Gate_01,"[{'file_name': '01. HVDC-ADOPT-SCT-0136_SupportingDocs.pdf', 'file_path': 'C:\\Users\\SAMSUNG\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001-20251013T035444Z-1-001\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202510\\SCNT (HVDC) Import Shipments (Oct 2025) - Supporting Documents\\01. HVDC-ADOPT-SCT-0136_SupportingDocs.pdf', 'doc_type': 'DO', 'file_size': 252514, 'parsed_data': {'header': {'doc_type': 'DO', 'doc_number': None, 'doc_date': None, 'item_code': 'HVDC-ADOPT-SCT-0136', 'file_path': 'C:\\Users\\SAMSUNG\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001-20251013T035444Z-1-001\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202510\\SCNT (HVDC) Import Shipments (Oct 2025) - Supporting Documents\\01. HVDC-ADOPT-SCT-0136_SupportingDocs.pdf', 'file_hash': '9fe4ce7d0f59b7d8fb45cd914664f16b771f5dfa3c3e46158147708e46c740b7', 'parsed_at': '2025-11-04T07:25:29.449830'}, 'do_number': None, 'do_date': None, 'delivery_valid_until': None, 'mbl_no': None, 'hbl_no': None, 'vessel': None, 'voyage_no': None, 'manifest_reg_no': None, 'containers': None, 'quantity': 2, 'weight_kg': None, 'volume_cbm': None, 'description': None, 'marks_numbers': None, 'importer': None, 'consignee': None, 'shipping_line': None, 'agent_code': None, 'port_origin': None, 'port_loading': None, 'port_discharge': None, 'ocean_freight_usd': None, 'empty_return_depot': None, 'empty_return_location': None}, 'parsing_error': None, 'do_number': None, 'mbl_no': None, 'containers': []}]",1,['DO']
4,SCT0136,TRANSPORTATION CHARGES (3 TON PU) FROM AUH AIRPORT TO MOSB,CONTRACT,100.0,1.0,100.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,100.0,,FAIL,83.3,Gate_01,"[{'file_name': '01. HVDC-ADOPT-SCT-0136_SupportingDocs.pdf', 'file_path': 'C:\\Users\\SAMSUNG\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001-20251013T035444Z-1-001\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202510\\SCNT (HVDC) Import Shipments (Oct 2025) - Supporting Documents\\01. HVDC-ADOPT-SCT-0136_SupportingDocs.pdf', 'doc_type': 'DO', 'file_size': 252514, 'parsed_data': {'header': {'doc_type': 'DO', 'doc_number': None, 'doc_date': None, 'item_code': 'HVDC-ADOPT-SCT-0136', 'file_path': 'C:\\Users\\SAMSUNG\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001-20251013T035444Z-1-001\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202510\\SCNT (HVDC) Import Shipments (Oct 2025) - Supporting Documents\\01. HVDC-ADOPT-SCT-0136_SupportingDocs.pdf', 'file_hash': '9fe4ce7d0f59b7d8fb45cd914664f16b771f5dfa3c3e46158147708e46c740b7', 'parsed_at': '2025-11-04T07:25:29.449830'}, 'do_number': None, 'do_date': None, 'delivery_valid_until': None, 'mbl_no': None, 'hbl_no': None, 'vessel': None, 'voyage_no': None, 'manifest_reg_no': None, 'containers': None, 'quantity': 2, 'weight_kg': None, 'volume_cbm': None, 'description': None, 'marks_numbers': None, 'importer': None, 'consignee': None, 'shipping_line': None, 'agent_code': None, 'port_origin': None, 'port_loading': None, 'port_discharge': None, 'ocean_freight_usd': None, 'empty_return_depot': None, 'empty_return_location': None}, 'parsing_error': None, 'do_number': None, 'mbl_no': None, 'containers': []}]",1,['DO']
5,SCT0136,AIRPORT STORAGE FEE,AT COST,187.3274336283186,1.0,187.3274336283186,REVIEW_NEEDED,OK,0.0,PASS,AtCost,[],0.03,,,FAIL,83.3,Gate_01,"[{'file_name': '01. HVDC-ADOPT-SCT-0136_SupportingDocs.pdf', 'file_path': 'C:\\Users\\SAMSUNG\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001-20251013T035444Z-1-001\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202510\\SCNT (HVDC) Import Shipments (Oct 2025) - Supporting Documents\\01. HVDC-ADOPT-SCT-0136_SupportingDocs.pdf', 'doc_type': 'DO', 'file_size': 252514, 'parsed_data': {'header': {'doc_type': 'DO', 'doc_number': None, 'doc_date': None, 'item_code': 'HVDC-ADOPT-SCT-0136', 'file_path': 'C:\\Users\\SAMSUNG\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001-20251013T035444Z-1-001\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202510\\SCNT (HVDC) Import Shipments (Oct 2025) - Supporting Documents\\01. HVDC-ADOPT-SCT-0136_SupportingDocs.pdf', 'file_hash': '9fe4ce7d0f59b7d8fb45cd914664f16b771f5dfa3c3e46158147708e46c740b7', 'parsed_at': '2025-11-04T07:25:29.449830'}, 'do_number': None, 'do_date': None, 'delivery_valid_until': None, 'mbl_no': None, 'hbl_no': None, 'vessel': None, 'voyage_no': None, 'manifest_reg_no': None, 'containers': None, 'quantity': 2, 'weight_kg': None, 'volume_cbm': None, 'description': None, 'marks_numbers': None, 'importer': None, 'consignee': None, 'shipping_line': None, 'agent_code': None, 'port_origin': None, 'port_loading': None, 'port_discharge': None, 'ocean_freight_usd': None, 'empty_return_depot': None, 'empty_return_location': None}, 'parsing_error': None, 'do_number': None, 'mbl_no': None, 'containers': []}]",1,['DO']
6,SCT0136,APPOINTMENT FEE,AT COST,7.351940095302927,1.0,7.351940095302927,REVIEW_NEEDED,OK,0.03,PASS,PortalFee,[],0.005,7.35,27.0,FAIL,83.3,Gate_01,"[{'file_name': '01. HVDC-ADOPT-SCT-0136_SupportingDocs.pdf', 'file_path': 'C:\\Users\\SAMSUNG\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001-20251013T035444Z-1-001\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202510\\SCNT (HVDC) Import Shipments (Oct 2025) - Supporting Documents\\01. HVDC-ADOPT-SCT-0136_SupportingDocs.pdf', 'doc_type': 'DO', 'file_size': 252514, 'parsed_data': {'header': {'doc_type': 'DO', 'doc_number': None, 'doc_date': None, 'item_code': 'HVDC-ADOPT-SCT-0136', 'file_path': 'C:\\Users\\SAMSUNG\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001-20251013T035444Z-1-001\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202510\\SCNT (HVDC) Import Shipments (Oct 2025) - Supporting Documents\\01. HVDC-ADOPT-SCT-0136_SupportingDocs.pdf', 'file_hash': '9fe4ce7d0f59b7d8fb45cd914664f16b771f5dfa3c3e46158147708e46c740b7', 'parsed_at': '2025-11-04T07:25:29.449830'}, 'do_number': None, 'do_date': None, 'delivery_valid_until': None, 'mbl_no': None, 'hbl_no': None, 'vessel': None, 'voyage_no': None, 'manifest_reg_no': None, 'containers': None, 'quantity': 2, 'weight_kg': None, 'volume_cbm': None, 'description': None, 'marks_numbers': None, 'importer': None, 'consignee': None, 'shipping_line': None, 'agent_code': None, 'port_origin': None, 'port_loading': None, 'port_discharge': None, 'ocean_freight_usd': None, 'empty_return_depot': None, 'empty_return_location': None}, 'parsing_error': None, 'do_number': None, 'mbl_no': None, 'containers': []}]",1,['DO']
7,SCT0136,DOCUMENT PROCESSING FEE,AT COST,9.530292716133424,1.0,9.530292716133424,REVIEW_NEEDED,OK,0.0,PASS,PortalFee,[],0.005,9.53,35.0,FAIL,83.3,Gate_01,"[{'file_name': '01. HVDC-ADOPT-SCT-0136_SupportingDocs.pdf', 'file_path': 'C:\\Users\\SAMSUNG\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001-20251013T035444Z-1-001\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202510\\SCNT (HVDC) Import Shipments (Oct 2025) - Supporting Documents\\01. HVDC-ADOPT-SCT-0136_SupportingDocs.pdf', 'doc_type': 'DO', 'file_size': 252514, 'parsed_data': {'header': {'doc_type': 'DO', 'doc_number': None, 'doc_date': None, 'item_code': 'HVDC-ADOPT-SCT-0136', 'file_path': 'C:\\Users\\SAMSUNG\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001-20251013T035444Z-1-001\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202510\\SCNT (HVDC) Import Shipments (Oct 2025) - Supporting Documents\\01. HVDC-ADOPT-SCT-0136_SupportingDocs.pdf', 'file_hash': '9fe4ce7d0f59b7d8fb45cd914664f16b771f5dfa3c3e46158147708e46c740b7', 'parsed_at': '2025-11-04T07:25:29.449830'}, 'do_number': None, 'do_date': None, 'delivery_valid_until': None, 'mbl_no': None, 'hbl_no': None, 'vessel': None, 'voyage_no': None, 'manifest_reg_no': None, 'containers': None, 'quantity': 2, 'weight_kg': None, 'volume_cbm': None, 'description': None, 'marks_numbers': None, 'importer': None, 'consignee': None, 'shipping_line': None, 'agent_code': None, 'port_origin': None, 'port_loading': None, 'port_discharge': None, 'ocean_freight_usd': None, 'empty_return_depot': None, 'empty_return_location': None}, 'parsing_error': None, 'do_number': None, 'mbl_no': None, 'containers': []}]",1,['DO']
1,SCT0137,MASTER DO FEE,CONTRACT,80.0,1.0,80.0,FAIL,CRITICAL,-46.67,CRITICAL,Contract,['Contract 과다/과소 청구: Delta -46.67% (Ref: $150.0)'],0.03,150.0,,FAIL,83.3,Gate_01,"[{'file_name': '02. HVDC-ADOPT-SCT-0137_SupportingDocs.pdf', 'file_path': 'C:\\Users\\SAMSUNG\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001-20251013T035444Z-1-001\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202510\\SCNT (HVDC) Import Shipments (Oct 2025) - Supporting Documents\\02. HVDC-ADOPT-SCT-0137_SupportingDocs.pdf', 'doc_type': 'DO', 'file_size': 246896, 'parsed_data': {'header': {'doc_type': 'DO', 'doc_number': None, 'doc_date': None, 'item_code': 'HVDC-ADOPT-SCT-0137', 'file_path': 'C:\\Users\\SAMSUNG\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001-20251013T035444Z-1-001\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202510\\SCNT (HVDC) Import Shipments (Oct 2025) - Supporting Documents\\02. HVDC-ADOPT-SCT-0137_SupportingDocs.pdf', 'file_hash': '1af727ca4559823e83063104dc5b5bd44c07fb7426177c8bf24e718b028c45e9', 'parsed_at': '2025-11-04T07:25:31.062417'}, 'do_number': None, 'do_date': None, 'delivery_valid_until': None, 'mbl_no': None, 'hbl_no': None, 'vessel': None, 'voyage_no': None, 'manifest_reg_no': None, 'containers': None, 'quantity': 2, 'weight_kg': None, 'volume_cbm': None, 'description': None, 'marks_numbers': None, 'importer': None, 'consignee': None, 'shipping_line': None, 'agent_code': None, 'port_origin': None, 'port_loading': None, 'port_discharge': None, 'ocean_freight_usd': None, 'empty_return_depot': None, 'empty_return_location': None}, 'parsing_error': None, 'do_number': None, 'mbl_no': None, 'containers': []}]",1,['DO']
2,SCT0137,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,83.3,Gate_01,"[{'file_name': '02. HVDC-ADOPT-SCT-0137_SupportingDocs.pdf', 'file_path': 'C:\\Users\\SAMSUNG\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001-20251013T035444Z-1-001\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202510\\SCNT (HVDC) Import Shipments (Oct 2025) - Supporting Documents\\02. HVDC-ADOPT-SCT-0137_SupportingDocs.pdf', 'doc_type': 'DO', 'file_size': 246896, 'parsed_data': {'header': {'doc_type': 'DO', 'doc_number': None, 'doc_date': None, 'item_code': 'HVDC-ADOPT-SCT-0137', 'file_path': 'C:\\Users\\SAMSUNG\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001-20251013T035444Z-1-001\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202510\\SCNT (HVDC) Import Shipments (Oct 2025) - Supporting Documents\\02. HVDC-ADOPT-SCT-0137_SupportingDocs.pdf', 'file_hash': '1af727ca4559823e83063104dc5b5bd44c07fb7426177c8bf24e718b028c45e9', 'parsed_at': '2025-11-04T07:25:31.062417'}, 'do_number': None, 'do_date': None, 'delivery_valid_until': None, 'mbl_no': None, 'hbl_no': None, 'vessel': None, 'voyage_no': None, 'manifest_reg_no': None, 'containers': None, 'quantity': 2, 'weight_kg': None, 'volume_cbm': None, 'description': None, 'marks_numbers': None, 'importer': None, 'consignee': None, 'shipping_line': None, 'agent_code': None, 'port_origin': None, 'port_loading': None, 'port_discharge': None, 'ocean_freight_usd': None, 'empty_return_depot': None, 'empty_return_location': None}, 'parsing_error': None, 'do_number': None, 'mbl_no': None, 'containers': []}]",1,['DO']
3,SCT0137,AIRPORT TERMINAL HANDLING FEE,CONTRACT,0.55,546.0,300.3,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,,,FAIL,83.3,Gate_01,"[{'file_name': '02. HVDC-ADOPT-SCT-0137_SupportingDocs.pdf', 'file_path': 'C:\\Users\\SAMSUNG\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001-20251013T035444Z-1-001\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202510\\SCNT (HVDC) Import Shipments (Oct 2025) - Supporting Documents\\02. HVDC-ADOPT-SCT-0137_SupportingDocs.pdf', 'doc_type': 'DO', 'file_size': 246896, 'parsed_data': {'header': {'doc_type': 'DO', 'doc_number': None, 'doc_date': None, 'item_code': 'HVDC-ADOPT-SCT-0137', 'file_path': 'C:\\Users\\SAMSUNG\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001-20251013T035444Z-1-001\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202510\\SCNT (HVDC) Import Shipments (Oct 2025) - Supporting Documents\\02. HVDC-ADOPT-SCT-0137_SupportingDocs.pdf', 'file_hash': '1af727ca4559823e83063104dc5b5bd44c07fb7426177c8bf24e718b028c45e9', 'parsed_at': '2025-11-04T07:25:31.062417'}, 'do_number': None, 'do_date': None, 'delivery_valid_until': None, 'mbl_no': None, 'hbl_no': None, 'vessel': None, 'voyage_no': None, 'manifest_reg_no': None, 'containers': None, 'quantity': 2, 'weight_kg': None, 'volume_cbm': None, 'description': None, 'marks_numbers': None, 'importer': None, 'consignee': None, 'shipping_line': None, 'agent_code': None, 'port_origin': None, 'port_loading': None, 'port_discharge': None, 'ocean_freight_usd': None, 'empty_return_depot': None, 'empty_return_location': None}, 'parsing_error': None, 'do_number': None, 'mbl_no': None, 'containers': []}]",1,['DO']
