shipment_ref,origin,destination,origin_norm,destination_norm,vehicle,vehicle_norm,unit,rate_usd,ref_rate_usd,delta_pct,cg_band,contract_ok,supplier_grade,supplier_tol_ok,distance_km,ref_distance_km,per_km,anomaly_z,anomaly_flag,similarity,similarity_pass,confidence,ml_confidence,risk_score,fx_msg,decision,flags,amount_usd,quantity,currency,completeness,join_key,delta_abs,fx_ok,automation_ready
HVDC-DSV-SKM-MOSB-212,SAMSUNG MOSB YARD,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,DSV Mussafah Yard,FLATBED,FLATBED,per truck,0.0,200.0,-100.0,CRITICAL,False,A,False,0,10.0,,,0,0.6274509803921569,True,0.5137254901960784,0.5137254901960784,0.4,USD_OK,FAIL,AUTO_FAIL,0.0,1.0,USD,1.0,SAMSUNG MOSB YARD→DSV MUSSAFAH YARD|FLATBED|per truck,100.0,True,False
HVDC-DSV-PRE-MIR/SHU/DAS/AGI-213,PRESTIGE MUSSAFAH,SAMSUNG MOSB YARD,DSV Mussafah Yard,SAMSUNG MOSB YARD,FLATBED,FLATBED,per truck,0.0,617.0,-100.0,CRITICAL,False,A,False,0,11.4,,,0,0.5796561085972851,False,0.48982805429864257,0.48982805429864257,0.4,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,DSV MUSSAFAH YARD→SAMSUNG MOSB YARD|FLATBED|per truck,100.0,True,False
HVDC-DSV-PRE-MIR-214,PRESTIGE MUSSAFAH,MIRFA PMO SAMSUNG,DSV Mussafah Yard,MIRFA SITE,FLATBED (CICPA),FLATBED (CICPA),per truck,0.0,420.0,-100.0,CRITICAL,False,A,False,0,120.0,,,0,0.7636363636363636,True,0.5818181818181818,0.5818181818181818,0.4,USD_OK,FAIL,AUTO_FAIL,0.0,1.0,USD,1.0,DSV MUSSAFAH YARD→MIRFA SITE|FLATBED (CICPA)|per truck,100.0,True,False
"HVDC-ADOPT-SCT-0126, HVDC-ADOPT-SCT-0126_DAS",SAMSUNG MOSB YARD,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,DSV Mussafah Yard,FLATBED,FLATBED,per truck,0.0,200.0,-100.0,CRITICAL,False,A,False,0,10.0,,,0,0.6274509803921569,True,0.5137254901960784,0.5137254901960784,0.4,USD_OK,FAIL,AUTO_FAIL,0.0,1.0,USD,1.0,SAMSUNG MOSB YARD→DSV MUSSAFAH YARD|FLATBED|per truck,100.0,True,False
HVDC-DSV-MOSB-SHU-216,SAMSUNG MOSB YARD,SHUWEIHAT POWER STATION,SAMSUNG MOSB YARD,SHUWEIHAT Site,3 TON PU,3 TON PU,per truck,0.0,600.0,-100.0,CRITICAL,False,A,False,0,240.0,,,0,0.5074509803921569,False,0.45372549019607844,0.45372549019607844,0.4,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,SAMSUNG MOSB YARD→SHUWEIHAT SITE|3 TON PU|per truck,100.0,True,False
HVDC-DSV-SHU-218,DSV MUSSAFAH YARD,SHUWEIHAT POWER STATION,DSV Mussafah Yard,SHUWEIHAT Site,FLATBED,FLATBED,per truck,0.0,600.0,-100.0,CRITICAL,False,A,False,0,240.0,,,0,1.0,True,0.7,0.7,0.4,USD_OK,FAIL,AUTO_FAIL,0.0,1.0,USD,1.0,DSV MUSSAFAH YARD→SHUWEIHAT SITE|FLATBED|per truck,100.0,True,False
HVDC-DSV-MOSB-MIR-219,SAMSUNG MOSB YARD,MIRFA PMO SAMSUNG,SAMSUNG MOSB YARD,MIRFA SITE,FLATBED,FLATBED,per truck,0.0,420.0,-100.0,CRITICAL,False,A,False,0,120.0,,,0,0.5941176470588235,False,0.4970588235294118,0.4970588235294118,0.4,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,SAMSUNG MOSB YARD→MIRFA SITE|FLATBED|per truck,100.0,True,False
HVDC-DSV-SAS-MOSB-217,DSV M44 WAREHOUSE,SAMSUNG MOSB YARD,DSV M44 WAREHOUSE,SAMSUNG MOSB YARD,FLATBED,FLATBED,per truck,0.0,600.0,-100.0,CRITICAL,False,A,False,0,250.0,,,0,0.4710752688172043,False,0.43553763440860216,0.43553763440860216,0.4,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,DSV M44 WAREHOUSE→SAMSUNG MOSB YARD|FLATBED|per truck,100.0,True,False
HVDC-ADOPT-HE-0487,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,DSV Mussafah Yard,SAMSUNG MOSB YARD,FLATBED,FLATBED,per truck,0.0,617.0,-100.0,CRITICAL,False,A,False,0,11.4,,,0,0.5796561085972851,False,0.48982805429864257,0.48982805429864257,0.4,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,4.0,USD,1.0,DSV MUSSAFAH YARD→SAMSUNG MOSB YARD|FLATBED|per truck,100.0,True,False
HVDC-MIR-DSV-221,MIRFA PMO SAMSUNG,DSV M44 WAREHOUSE,MIRFA SITE,DSV M44 WAREHOUSE,FLATBED,FLATBED,per truck,0.0,200.0,-100.0,CRITICAL,False,A,False,0,10.0,,,0,0.4017429193899782,False,0.4008714596949891,0.4008714596949891,0.4,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,MIRFA SITE→DSV M44 WAREHOUSE|FLATBED|per truck,100.0,True,False
HVDC-DSV-MOSB-MIR-220,DSV M44 WAREHOUSE,MIRFA PMO SAMSUNG,DSV M44 WAREHOUSE,MIRFA SITE,FLATBED,FLATBED,per truck,0.0,420.0,-100.0,CRITICAL,False,A,False,0,120.0,,,0,0.6147058823529411,True,0.5073529411764706,0.5073529411764706,0.4,USD_OK,FAIL,AUTO_FAIL,0.0,14.0,USD,1.0,DSV M44 WAREHOUSE→MIRFA SITE|FLATBED|per truck,100.0,True,False
HVDC-DSV-MOSB-222,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,DSV Mussafah Yard,SAMSUNG MOSB YARD,3 TON PU,3 TON PU,per truck,0.0,617.0,-100.0,CRITICAL,False,A,False,0,11.4,,,0,0.5324033613445378,False,0.4662016806722689,0.4662016806722689,0.4,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,DSV MUSSAFAH YARD→SAMSUNG MOSB YARD|3 TON PU|per truck,100.0,True,False
HVDC-DSV-FP-TRO-223,MINA FREE PORT,TROJAN MUSSAFAH,MINA FREE PORT,TROJAN MUSSAFAH,LOWBED,LOWBED,per truck,0.0,980.26,-100.0,CRITICAL,False,A,False,0,5.0,,,0,0.45551724137931027,False,0.42775862068965514,0.42775862068965514,0.4,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,8.0,USD,1.0,MINA FREE PORT→TROJAN MUSSAFAH|LOWBED|per truck,100.0,True,False
HVDC-DSV-MOSB-223,DSV MARKAZ,SAMSUNG MOSB YARD,DSV MARKAZ,SAMSUNG MOSB YARD,FLATBED,FLATBED,per truck,0.0,617.0,-100.0,CRITICAL,False,A,False,0,11.4,,,0,0.41113759007876655,False,0.40556879503938326,0.40556879503938326,0.4,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,DSV MARKAZ→SAMSUNG MOSB YARD|FLATBED|per truck,100.0,True,False
HVDC-DSV-HE-SHU-199,HAULER DUBAI,SHUWEIHAT POWER STATION,HAULER DUBAI,SHUWEIHAT Site,FLATBED HAZMAT,FLATBED HAZMAT,per truck,0.0,600.0,-100.0,CRITICAL,False,A,False,0,240.0,,,0,0.5132183908045976,False,0.45660919540229883,0.45660919540229883,0.4,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,3.0,USD,1.0,HAULER DUBAI→SHUWEIHAT SITE|FLATBED HAZMAT|per truck,100.0,True,False
HVDC-DSV-HE-MIR-TEC-224,MIRFA PMO SAMSUNG,JEBEL ALI,MIRFA SITE,JEBEL ALI,FLATBED,FLATBED,per truck,0.0,980.26,-100.0,CRITICAL,False,A,False,0,5.0,,,0,0.32653846153846156,False,0.3632692307692308,0.3632692307692308,0.4,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,MIRFA SITE→JEBEL ALI|FLATBED|per truck,100.0,True,False
HVDC-DSV-MOSB-225,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,DSV Mussafah Yard,SAMSUNG MOSB YARD,FLATBED,FLATBED,per truck,0.0,617.0,-100.0,CRITICAL,False,A,False,0,11.4,,,0,0.5796561085972851,False,0.48982805429864257,0.48982805429864257,0.4,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,DSV MUSSAFAH YARD→SAMSUNG MOSB YARD|FLATBED|per truck,100.0,True,False
HVDC-DSV-PRE-SHU-MIR-227,PRESTIGE MUSSAFAH,MIRFA PMO SAMSUNG,DSV Mussafah Yard,MIRFA SITE,FLATBED,FLATBED,per truck,0.0,420.0,-100.0,CRITICAL,False,A,False,0,120.0,,,0,1.0,True,0.7,0.7,0.4,USD_OK,FAIL,AUTO_FAIL,0.0,1.0,USD,1.0,DSV MUSSAFAH YARD→MIRFA SITE|FLATBED|per truck,100.0,True,False
HVDC-DSV-HE-SHU-228,DSV M44 WAREHOUSE,SHUWEIHAT POWER STATION,DSV M44 WAREHOUSE,SHUWEIHAT Site,FLATBED,FLATBED,per truck,0.0,600.0,-100.0,CRITICAL,False,A,False,0,250.0,,,0,0.7533333333333333,True,0.5766666666666667,0.5766666666666667,0.4,USD_OK,FAIL,AUTO_FAIL,0.0,2.0,USD,1.0,DSV M44 WAREHOUSE→SHUWEIHAT SITE|FLATBED|per truck,100.0,True,False
HVDC-DSV-MOSB-229,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,DSV Mussafah Yard,SAMSUNG MOSB YARD,FLATBED,FLATBED,per truck,0.0,617.0,-100.0,CRITICAL,False,A,False,0,11.4,,,0,0.5796561085972851,False,0.48982805429864257,0.48982805429864257,0.4,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,2.0,USD,1.0,DSV MUSSAFAH YARD→SAMSUNG MOSB YARD|FLATBED|per truck,100.0,True,False
HVDC-DSV-SHU-SKM-226,SHUWEIHAT POWER STATION,Surti Industries LLC (JEBEL ALI),SHUWEIHAT Site,Surti Industries LLC (JEBEL ALI),3 TON PU,3 TON PU,per truck,0.0,200.0,-100.0,CRITICAL,False,A,False,0,10.0,,,0,0.20841781874039939,False,0.30420890937019973,0.30420890937019973,0.4,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,SHUWEIHAT SITE→SURTI INDUSTRIES LLC (JEBEL ALI)|3 TON PU|per truck,100.0,True,False
HVDC-DSV-PRE-MIR/SHU-230,PRESTIGE MUSSAFAH,MIRFA PMO SAMSUNG,DSV Mussafah Yard,MIRFA SITE,FLATBED,FLATBED,per truck,0.0,420.0,-100.0,CRITICAL,False,A,False,0,120.0,,,0,1.0,True,0.7,0.7,0.4,USD_OK,FAIL,AUTO_FAIL,0.0,5.0,USD,1.0,DSV MUSSAFAH YARD→MIRFA SITE|FLATBED|per truck,100.0,True,False
HVDC-ADOPT-SCT-0123-0124,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,DSV Mussafah Yard,SAMSUNG MOSB YARD,FLATBED,FLATBED,per truck,0.0,617.0,-100.0,CRITICAL,False,A,False,0,11.4,,,0,0.5796561085972851,False,0.48982805429864257,0.48982805429864257,0.4,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,DSV MUSSAFAH YARD→SAMSUNG MOSB YARD|FLATBED|per truck,100.0,True,False
HVDC-ADOPT-HE-0499,MOSB,SHUWEIHAT POWER STATION,Al Masaood (MOSB),SHUWEIHAT Site,LOWBED,LOWBED,per truck,0.0,420.0,-100.0,CRITICAL,False,A,False,0,120.0,,,0,0.6157051282051282,True,0.5078525641025642,0.5078525641025642,0.4,USD_OK,FAIL,AUTO_FAIL,0.0,2.0,USD,1.0,AL MASAOOD (MOSB)→SHUWEIHAT SITE|LOWBED|per truck,100.0,True,False
HVDC-DSV-PRE-MDAS-232 (PEI_SCT-19LT-PJC-LPO-1450),PRESTIGE MUSSAFAH,SAMSUNG MOSB YARD,DSV Mussafah Yard,SAMSUNG MOSB YARD,3 TON PU,3 TON PU,per truck,0.0,617.0,-100.0,CRITICAL,False,A,False,0,11.4,,,0,0.5324033613445378,False,0.4662016806722689,0.4662016806722689,0.4,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,DSV MUSSAFAH YARD→SAMSUNG MOSB YARD|3 TON PU|per truck,100.0,True,False
HVDC-DSV-HAU-SHU-231,HAULER DUBAI,SHUWEIHAT POWER STATION,HAULER DUBAI,SHUWEIHAT Site,FLATBED HAZMAT,FLATBED HAZMAT,per truck,0.0,600.0,-100.0,CRITICAL,False,A,False,0,240.0,,,0,0.5132183908045976,False,0.45660919540229883,0.45660919540229883,0.4,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,2.0,USD,1.0,HAULER DUBAI→SHUWEIHAT SITE|FLATBED HAZMAT|per truck,100.0,True,False
HVDC-DSV-HE-AGI-233,DSV M44 WAREHOUSE,SAMSUNG MOSB YARD,DSV M44 WAREHOUSE,SAMSUNG MOSB YARD,FLATBED,FLATBED,per truck,0.0,600.0,-100.0,CRITICAL,False,A,False,0,250.0,,,0,0.4710752688172043,False,0.43553763440860216,0.43553763440860216,0.4,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,DSV M44 WAREHOUSE→SAMSUNG MOSB YARD|FLATBED|per truck,100.0,True,False
HVDC-DSV-SHU-MIR-235,SHUWEIHAT POWER STATION,MIRFA PMO SAMSUNG,SHUWEIHAT Site,MIRFA SITE,FLATBED,FLATBED,per truck,0.0,420.0,-100.0,CRITICAL,False,A,False,0,120.0,,,0,0.5403225806451613,False,0.47016129032258064,0.47016129032258064,0.4,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,SHUWEIHAT SITE→MIRFA SITE|FLATBED|per truck,100.0,True,False
HVDC-DSV-SAS-SHU-234,SAS POWER INDUSTRIES FZE,Shuweihat Power Station,SAS POWER INDUSTRIES FZE,SHUWEIHAT Site,FLATBED,FLATBED,per truck,0.0,600.0,-100.0,CRITICAL,False,A,False,0,250.0,,,0,0.5445945945945946,False,0.4722972972972973,0.4722972972972973,0.4,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,SAS POWER INDUSTRIES FZE→SHUWEIHAT SITE|FLATBED|per truck,100.0,True,False
