Invoice Number,Date,Samsung Ref,VAT%,Currency,Total Amount,Vessel Name,Rotation No,Voyage No,GRT,DWT,LOA,Customer Reg No,Item#,Subject,EA,Rate,Amount (AED),Cost Main,Cost Center A,Cost Center B,Price Center,UOM,Tax Rate,Total Incl VAT,Notes
OFCO-INV-0001178,15-Jul-2025,B-SAMSG-0625-1,5.0,AED,41375.75,VAT,2501019241,B-SAMSG-0625-1,929.00,1063.07,64.0000,006450,1,RateQty Unit Price UnitAmount excl. VATTax AmountAmount incl. VAT 1Agency fee: Berthing Arrangement Channel Transit Permission / Pilot Arrangement -Rot#250101924,1.0,490.13,490.13,CONTRACT,CONTRACT(AF FOR BA),CONTRACT,AGENCY FEE FOR BERTHING ARRANGEMENT,LS,15%,514.64,UOM=LS; VAT=15%; TotalInclVAT=514.64
OFCO-INV-0001178,15-Jul-2025,B-SAMSG-0625-1,5.0,AED,41375.75,VAT,2501019241,B-SAMSG-0625-1,929.00,1063.07,64.0000,006450,2,2SAFEEN INV-62102- Berthing Unberthing & Pilotage- Rot# 250101924,1.0,5401.23,5401.23,PORT HANDLING,PORT HANDLING CHARGE,CHANNEL TRANSIT CHARGES,CHANNEL TRANSIT CHARGES,LS,15%,5671.26,UOM=LS; VAT=15%; TotalInclVAT=5671.26
OFCO-INV-0001178,15-Jul-2025,B-SAMSG-0625-1,5.0,AED,41375.75,VAT,2501019241,B-SAMSG-0625-1,929.00,1063.07,64.0000,006450,3,3ADP INV-61871 - Port Dues & Services,1.0,358.9,358.9,PORT HANDLING,PORT HANDLING CHARGE,PORT DUES & SERVICES CHARGES,PORT DUES,LS,5%,376.85,UOM=LS; VAT=5%; TotalInclVAT=376.85
OFCO-INV-0001178,15-Jul-2025,B-SAMSG-0625-1,5.0,AED,41375.75,VAT,2501019241,B-SAMSG-0625-1,929.00,1063.07,64.0000,006450,4,4SAFEEN INV-61206- Permits & certificate- Rot# 250101924,1.0,285.91,285.91,PORT HANDLING,PORT HANDLING CHARGE,CHANNEL TRANSIT CHARGES,CHANNEL TRANSIT CHARGES,LS,15%,300.21,UOM=LS; VAT=15%; TotalInclVAT=300.21
OFCO-INV-0001178,15-Jul-2025,B-SAMSG-0625-1,5.0,AED,41375.75,VAT,2501019241,B-SAMSG-0625-1,929.00,1063.07,64.0000,006450,5,5SAFEEN INV-59089- Permits & certificate- Rot# 250101924,1.0,408.44,408.44,PORT HANDLING,PORT HANDLING CHARGE,CHANNEL TRANSIT CHARGES,CHANNEL TRANSIT CHARGES,LS,15%,428.86,UOM=LS; VAT=15%; TotalInclVAT=428.86
OFCO-INV-0001178,15-Jul-2025,B-SAMSG-0625-1,5.0,AED,41375.75,VAT,2501019241,B-SAMSG-0625-1,929.00,1063.07,64.0000,006450,6,6ADP INV01250701362- PHC,1.0,1472.56,1472.56,PORT HANDLING,PORT HANDLING CHARGE,PORT HANDLING CHARGES,PORT HANDLING CHARGE,LS,5%,1546.19,UOM=LS; VAT=5%; TotalInclVAT=1546.19
OFCO-INV-0001178,15-Jul-2025,B-SAMSG-0625-1,5.0,AED,41375.75,VAT,2501019241,B-SAMSG-0625-1,929.00,1063.07,64.0000,006450,7,7ADP INV01250701317- PHC,1.0,2627.64,2627.64,PORT HANDLING,PORT HANDLING CHARGE,PORT HANDLING CHARGES,PORT HANDLING CHARGE,LS,5%,2759.02,UOM=LS; VAT=5%; TotalInclVAT=2759.02
OFCO-INV-0001178,15-Jul-2025,B-SAMSG-0625-1,5.0,AED,41375.75,VAT,2501019241,B-SAMSG-0625-1,929.00,1063.07,64.0000,006450,8,8ADP INV01250701313- PHC,1.0,2631.72,2631.72,PORT HANDLING,PORT HANDLING CHARGE,PORT HANDLING CHARGES,PORT HANDLING CHARGE,LS,5%,2763.31,UOM=LS; VAT=5%; TotalInclVAT=2763.31
OFCO-INV-0001178,15-Jul-2025,B-SAMSG-0625-1,5.0,AED,41375.75,VAT,2501019241,B-SAMSG-0625-1,929.00,1063.07,64.0000,006450,9,9ADP INV01250701342- PHC,1.0,151.12,151.12,PORT HANDLING,PORT HANDLING CHARGE,PORT HANDLING CHARGES,PORT HANDLING CHARGE,LS,5%,158.68,UOM=LS; VAT=5%; TotalInclVAT=158.68
OFCO-INV-0001178,15-Jul-2025,B-SAMSG-0625-1,5.0,AED,41375.75,VAT,2501019241,B-SAMSG-0625-1,929.00,1063.07,64.0000,006450,10,10ADP INV01250701329- Port crane charges,1.0,405.45,405.45,CONTRACT,EQUIPMENT CHARGES,CRANE,CRANE,LS,5%,425.72,UOM=LS; VAT=5%; TotalInclVAT=425.72
