dn_index,shipment_ref,filename,demand_top1,capacity_final,gap
0,HVDC-DSV-SKM-MOSB-212,HVDC-DSV-SKM-MOSB-212_DN (1 FB & 6 LB).pdf,7,1,6
1,HVDC-DSV-SKM-MOSB-212,HVDC-DSV-SKM-MOSB-212_DN.pdf,0,1,0
2,HVDC-DSV-PRE-MIR-214,HVDC-DSV-PRE-MIR-214_DN.pdf,9,1,8
3,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DAS_DN (DSV-MOSB).pdf,13,1,12
4,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DN (DSV-MIRFA).pdf,1,1,0
5,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DN (DSV-SHU).pdf,10,1,9
6,HVDC-ADOPT-SCT-0126,HVDC-ADOPT-SCT-0126_DN (MOSB-DSV).pdf,0,1,0
7,HVDC-DSV-MOSB-SHU-216,HVDC-DSV-MOSB-SHU-216_DN.pdf,0,1,0
8,HVDC-DSV-SHU-218,HVDC-DSV-SHU-218_DN.pdf,0,1,0
9,HVDC-DSV-MOSB-MIR-219,HVDC-DSV-MOSB-MIR-219_DN.pdf,0,1,0
10,HVDC-DSV-SAS-MOSB-217,HVDC-DSV-SAS-MOSB-217_DN.pdf,0,1,0
11,HVDC-ADOPT-HE-0487,HVDC-ADOPT-HE-0487_DN.pdf,0,1,0
12,HVDC-MIR-DSV-221,HVDC-MIR-DSV-221_DN.pdf,2,1,1
13,HVDC-DSV-MOSB-MIR-220,HVDC-DSV-MOSB-MIR-220_DN (M44-MIRFA).pdf,0,1,0
14,HVDC-DSV-MOSB-MIR-220,HVDC-DSV-MOSB-MIR-220_DN (MARKAZ-MIRFA).pdf,0,1,0
15,HVDC-DSV-MOSB-222,HVDC-DSV-MOSB-222_DN.pdf,0,1,0
16,HVDC-DSV-FP-TRO-223,HVDC-DSV-FP-TRO-223_8LB_DN (with Rate Approval).pdf,0,1,0
17,HVDC-DSV-MOSB-223,HVDC-DSV-MOSB-223 _DN.pdf,0,1,0
18,HVDC-DSV-HE-SHU-199,HVDC-DSV-HE-SHU-199_DN.pdf,0,1,0
19,HVDC-DSV-HE-MIR-TEC-224,HVDC-DSV-HE-MIR-TEC-224_DNs.pdf,0,1,0
20,HVDC-DSV-MOSB-225,HVDC-DSV-MOSB-225_DN (1 FB & 3-TonPU).pdf,0,1,0
21,HVDC-DSV-PRE-SHU-MIR-227,HVDC-DSV-PRE-SHU-MIR-227_DN (Prestige-Mirfa-Shuweihat).pdf,0,1,0
22,HVDC-DSV-HE-SHU-228,HVDC-DSV-HE-SHU-228_DN.pdf,0,1,0
23,HVDC-DSV-MOSB-229,HVDC-DSV-MOSB-229_DN.pdf,0,1,0
24,HVDC-DSV-SHU-SKM-226,HVDC-DSV-SHU-SKM-226_DN.pdf,0,1,0
25,HVDC-DSV-PRE-MIR-SHU-230,HVDC-DSV-PRE-MIR-SHU-230_DN (Prestige-Mirfa).pdf,0,1,0
26,HVDC-DSV-PRE-MIR-SHU-230,HVDC-DSV-PRE-MIR-SHU-230_DN (Prestige-Shuweihat).pdf,0,1,0
27,HVDC-ADOPT-SCT-0123-0124,HVDC-ADOPT-SCT-0123-0124_DN.pdf,0,1,0
28,HVDC-ADOPT-HE-0499,HVDC-ADOPT-HE-0499_DN (with Rate Approval).pdf,0,1,0
29,HVDC-DSV-HAU-SHU-231,HVDC-DSV-HAU-SHU-231_DN.pdf,0,1,0
30,HVDC-DSV-HE-AGI-233,HVDC-DSV-HE-AGI-233_DN.pdf,0,1,0
31,HVDC-DSV-SHU-MIR-235,HVDC-DSV-SHU-MIR-235_DN.pdf,0,1,0
32,HVDC-DSV-SAS-SHU-234,HVDC-DSV-SAS-SHU-234_DN (with Toll Fee & Rate approval).pdf,0,1,0
