origin_norm,destination_norm,vehicle_norm,unit,median_rate_usd,median_distance_km,p25,p75,samples,key
Aaa Warehouse,Al Masaood (MOSB),7 TON PU,per truck,240.0,5.7,240.0,240.0,1,AAA WAREHOUSE||AL MASAOOD (MOSB)||7 TON PU||per truck
Aaa Warehouse,Al Masaood (MOSB),FLATBED HAZMAT,per truck,476.51,5.7,476.51,476.51,1,AAA WAREHOUSE||AL MASAOOD (MOSB)||FLATBED HAZMAT||per truck
Aaa Warehouse,MIRFA SITE,FB,per truck,953.0292716133424,129.81,953.0292716133424,953.0292716133424,1,AAA WAREHOUSE||MIRFA SITE||FB||per truck
"Aaa Warehouse , Icad-3",Al Masaood (MOSB),3 TON PU,per truck,490.1293396868618,5.94,490.1293396868618,490.1293396868618,1,"AAA WAREHOUSE , ICAD-3||AL MASAOOD (MOSB)||3 TON PU||per truck"
"Aaa Warehouse , Icad-3",SHUWEIHAT Site,FB,per truck,1170.86,111.9,1170.86,1170.86,1,"AAA WAREHOUSE , ICAD-3||SHUWEIHAT SITE||FB||per truck"
Al Masaood (MOSB),Al Gurg Automation (Jebel Ali),3 TON PU,per truck,250.0,104.0,250.0,250.0,1,AL MASAOOD (MOSB)||AL GURG AUTOMATION (JEBEL ALI)||3 TON PU||per truck
Al Masaood (MOSB),Al Masaood (MOSB),FB,per truck,200.0,2.14,200.0,200.0,20,AL MASAOOD (MOSB)||AL MASAOOD (MOSB)||FB||per truck
Al Masaood (MOSB),Al Masaood (MOSB),LOWBED,per truck,953.03,2.14,864.5342426820966,1089.7725,4,AL MASAOOD (MOSB)||AL MASAOOD (MOSB)||LOWBED||per truck
Al Masaood (MOSB),DSV Mussafah Yard,3 TON PU,per truck,120.0,2.0,120.0,120.0,1,AL MASAOOD (MOSB)||DSV MUSSAFAH YARD||3 TON PU||per truck
Al Masaood (MOSB),DSV Mussafah Yard,FB,per truck,200.0,2.0,200.0,200.0,19,AL MASAOOD (MOSB)||DSV MUSSAFAH YARD||FB||per truck
Al Masaood (MOSB),DSV Mussafah Yard,LOWBED,per truck,580.0,3.79,580.0,673.2574999999999,4,AL MASAOOD (MOSB)||DSV MUSSAFAH YARD||LOWBED||per truck
Al Masaood (MOSB),Jetty,LOWBED,per truck,1500.0,1.0,1500.0,1500.0,1,AL MASAOOD (MOSB)||JETTY||LOWBED||per truck
Al Masaood (MOSB),M44 Warehouse,3 TON PU,per truck,100.0,1.6,100.0,100.0,1,AL MASAOOD (MOSB)||M44 WAREHOUSE||3 TON PU||per truck
Al Masaood (MOSB),MIRFA SITE,3 TON PU,per truck,180.0,141.0,180.0,180.0,1,AL MASAOOD (MOSB)||MIRFA SITE||3 TON PU||per truck
Al Masaood (MOSB),MIRFA SITE,FB,per truck,420.0,99.4,420.0,420.0,9,AL MASAOOD (MOSB)||MIRFA SITE||FB||per truck
Al Masaood (MOSB),Mina Zayed Port,14 METER LB (BR),per truck,1565.69094622192,33.0,1565.69094622192,1565.69094622192,1,AL MASAOOD (MOSB)||MINA ZAYED PORT||14 METER LB (BR)||per truck
