region_o,region_d,vehicle_norm,unit,median_rate_usd,median_distance_km,samples,key_region
MINA,MINA,,per truck,515.18,1.0,1,MINA|MINA||per truck
MINA,MINA,FB,per truck,171.0,1.0,4,MINA|MINA|FB|per truck
MINA,MINA,LOWBED,per truck,980.26,1.0,3,MINA|MINA|LOWBED|per truck
MINA,MUSSAFAH,FB,per truck,171.0,24.2,1,MINA|MUSSAFAH|FB|per truck
MINA,OTHER,FB,per truck,171.0,24.2,4,MINA|OTHER|FB|per truck
MIRFA,OTHER,3 TON PU,per truck,150.0,99.4,1,MIRFA|OTHER|3 TON PU|per truck
MIRFA,OTHER,FB,per truck,770.0,211.67,6,MIRFA|OTHER|FB|per truck
MIRFA,SHUWEIHAT,3 TON PU,per truck,187.5,60.45,2,MIRFA|SHUWEIHAT|3 TON PU|per truck
MIRFA,SHUWEIHAT,FB,per truck,600.0,97.4,3,MIRFA|SHUWEIHAT|FB|per truck
MUSSAFAH,MINA,FB,per truck,285.5,17.0,2,MUSSAFAH|MINA|FB|per truck
MUSSAFAH,MIRFA,FB,per truck,420.0,101.4,70,MUSSAFAH|MIRFA|FB|per truck
MUSSAFAH,MIRFA,FLATBED (CICPA),per truck,420.0,101.4,1,MUSSAFAH|MIRFA|FLATBED (CICPA)|per truck
MUSSAFAH,MIRFA,LOWBED,per truck,953.03,101.4,2,MUSSAFAH|MIRFA|LOWBED|per truck
MUSSAFAH,MUSSAFAH,FB,per truck,200.0,2.0,14,MUSSAFAH|MUSSAFAH|FB|per truck
MUSSAFAH,OTHER,3 TON PU,per truck,100.0,5.94,15,MUSSAFAH|OTHER|3 TON PU|per truck
MUSSAFAH,OTHER,FB,per truck,200.0,5.58,125,MUSSAFAH|OTHER|FB|per truck
MUSSAFAH,OTHER,FLATBED HAZMAT,per truck,871.34,150.0,1,MUSSAFAH|OTHER|FLATBED HAZMAT|per truck
MUSSAFAH,OTHER,LOWBED,per truck,599.05,5.35,18,MUSSAFAH|OTHER|LOWBED|per truck
MUSSAFAH,OTHER,LOWBED (23M),per truck,408.44,5.58,2,MUSSAFAH|OTHER|LOWBED (23M)|per truck
MUSSAFAH,SHUWEIHAT,3 TON PU,per truck,250.0,110.7,5,MUSSAFAH|SHUWEIHAT|3 TON PU|per truck
MUSSAFAH,SHUWEIHAT,FB,per truck,600.0,110.7,84,MUSSAFAH|SHUWEIHAT|FB|per truck
MUSSAFAH,SHUWEIHAT,FLATBED,per truck,600.0,60.85,2,MUSSAFAH|SHUWEIHAT|FLATBED|per truck
MUSSAFAH,SHUWEIHAT,FLATBED (CICPA),per truck,420.0,110.7,1,MUSSAFAH|SHUWEIHAT|FLATBED (CICPA)|per truck
MUSSAFAH,SHUWEIHAT,FLATBED HAZMAT,per truck,,110.7,0,MUSSAFAH|SHUWEIHAT|FLATBED HAZMAT|per truck
OTHER,MINA,14 METER LB (BR),per truck,1565.69094622192,33.0,1,OTHER|MINA|14 METER LB (BR)|per truck
