no.,Shipment Invoice No.,SCT Ref.No,Site,EQ No,Case No.,Pkg,Storage,Description,L(CM),W(CM),H(CM),CBM,N.W(kgs),G.W(kgs),Stack,HS Code,Currency,Price,Vessel,COE,POL,POD,ETD/ATD,ETA/ATA,DHL WH,DSV Indoor,DSV Al Markaz,AAA Storage,DSV Outdoor,DSV MZP,MOSB,Hauler Indoor,JDN MZD,Shifting,MIR,SHU,DAS,AGI,Source_Sheet,Status_WAREHOUSE,Status_SITE,Status_Current,Status_Location,Status_Location_Date,Status_Storage,wh handling,site handling,total handling,minus,final handling,SQM,고유 중복,Vendor,Source_Vendor,__case_key__,__dup_label__,Source_File,Status_Location_YearMonth,site_handling_original,total_handling_original,wh_handling_original,FLOW_CODE_ORIG,FLOW_OVERRIDE_REASON,FLOW_CODE,FLOW_DESCRIPTION,Final_Location
1,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,DAS,EQ-001,207721,1.0,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,85044083,SEK,433859.0,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,,2024-01-19,,,,,,,,2025-05-13,,CASE_LIST,1.0,1.0,site,DAS,2025-05-13,site,1,1,2,0,2,9.84,고유,,HITACHI,207721,고유,HITACHI(HE),,1,2,1,2,,2,Flow 2: Port → WH → Site,DAS
2,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,DAS,EQ-001,207722,1.0,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,85044083,SEK,433859.0,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,,2024-01-19,,,,,,,,2025-05-13,,CASE_LIST,1.0,1.0,site,DAS,2025-05-13,site,1,1,2,0,2,9.84,고유,,HITACHI,207722,고유,HITACHI(HE),,1,2,1,2,,2,Flow 2: Port → WH → Site,DAS
3,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,DAS,EQ-001,207723,1.0,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,85044083,SEK,433859.0,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,,2024-01-19,,,,,,,,2025-05-13,,CASE_LIST,1.0,1.0,site,DAS,2025-05-13,site,1,1,2,0,2,9.84,고유,,HITACHI,207723,고유,HITACHI(HE),,1,2,1,2,,2,Flow 2: Port → WH → Site,DAS
4,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,DAS,EQ-001,207724,1.0,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,85044083,SEK,433859.0,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,,2024-01-19,,,,,,,,2025-05-13,,CASE_LIST,1.0,1.0,site,DAS,2025-05-13,site,1,1,2,0,2,9.84,고유,,HITACHI,207724,고유,HITACHI(HE),,1,2,1,2,,2,Flow 2: Port → WH → Site,DAS
5,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,DAS,EQ-001,207725,1.0,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,85044083,SEK,433859.0,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,,2024-01-19,,,,,,,,2025-05-13,,CASE_LIST,1.0,1.0,site,DAS,2025-05-13,site,1,1,2,0,2,9.84,고유,,HITACHI,207725,고유,HITACHI(HE),,1,2,1,2,,2,Flow 2: Port → WH → Site,DAS
6,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,DAS,EQ-001,207726,1.0,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,85044083,SEK,433859.0,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,,2024-01-19,,,,,,,,2025-05-13,,CASE_LIST,1.0,1.0,site,DAS,2025-05-13,site,1,1,2,0,2,9.84,고유,,HITACHI,207726,고유,HITACHI(HE),,1,2,1,2,,2,Flow 2: Port → WH → Site,DAS
7,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,DAS,EQ-001,207727,1.0,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,85044083,SEK,433859.0,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,,2024-01-19,,,,,,,,2025-05-13,,CASE_LIST,1.0,1.0,site,DAS,2025-05-13,site,1,1,2,0,2,9.84,고유,,HITACHI,207727,고유,HITACHI(HE),,1,2,1,2,,2,Flow 2: Port → WH → Site,DAS
8,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,DAS,EQ-001,207728,1.0,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,85044083,SEK,433859.0,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,,2024-01-19,,,,,,,,2025-05-13,,CASE_LIST,1.0,1.0,site,DAS,2025-05-13,site,1,1,2,0,2,9.84,고유,,HITACHI,207728,고유,HITACHI(HE),,1,2,1,2,,2,Flow 2: Port → WH → Site,DAS
9,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,DAS,EQ-001,207729,1.0,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,85044083,SEK,433859.0,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,,2024-01-19,,,,,,,,2025-05-13,,CASE_LIST,1.0,1.0,site,DAS,2025-05-13,site,1,1,2,0,2,9.84,고유,,HITACHI,207729,고유,HITACHI(HE),,1,2,1,2,,2,Flow 2: Port → WH → Site,DAS
10,PRL-DAS-002-O Lot1,HVDC-ADOPT-HE-0001,DAS,EQ-001,207730,1.0,Outdoor covered,Bottom Shield,426.0,231.0,255.0,25.09353,400.0,1144.0,Stackable x1,85044083,SEK,433859.0,MSC China,Sweden,Gothenburg,Khalifa port,2023-12-01,2024-01-11,,,,,2024-01-19,,,,,,,,2025-05-13,,CASE_LIST,1.0,1.0,site,DAS,2025-05-13,site,1,1,2,0,2,9.84,고유,,HITACHI,207730,고유,HITACHI(HE),,1,2,1,2,,2,Flow 2: Port → WH → Site,DAS
