no.,Shipment Invoice No.,SCT Ref.No,Site,EQ No,Case No.,Pkg,Storage,Description,L(CM),W(CM),H(CM),CBM,N.W(kgs),G.W(kgs),Stack,HS Code,Currency,Price,Vessel,COE,POL,POD,ETD/ATD,ETA/ATA,DHL WH,DSV Indoor,DSV Al Markaz,AAA Storage,DSV Outdoor,DSV MZP,MOSB,Hauler Indoor,JDN MZD,Shifting,MIR,SHU,DAS,AGI,Source_Sheet,Status_WAREHOUSE,Status_SITE,Status_Current,Status_Location,Status_Location_Date,Status_Storage,wh handling,site handling,total handling,minus,final handling,SQM,고유 중복,Vendor,Source_Vendor,__case_key__,__dup_label__,Source_File,Status_Location_YearMonth,site_handling_original,total_handling_original,wh_handling_original,FLOW_CODE_ORIG,FLOW_OVERRIDE_REASON,FLOW_CODE,FLOW_DESCRIPTION,Final_Location
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASE_LIST,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,중복,,SIEMENS,,중복,SIMENSE(SIM),,0,0,0,0,,0,Flow 0: Pre Arrival,Pre Arrival
2,HVDC-ADOPT-SIM-0001,,ALL,,,28.0,Outdoor,LV Cable,,,,55.22,20389,26633.0,Non Stackable,8544 4999,EUR,235427.37,Eugen Maersk,BELGIUM,Antwerp,Khalifa port,2024-02-09,2024-03-14,,,,,,,,,,,2024-04-18,2024-03-28,2024-04-04,2024-04-18,CASE_LIST,,1.0,site,MIR,2024-04-18,site,0,4,4,4,8,,중복,,SIEMENS,,중복,SIMENSE(SIM),,4,4,0,1,,1,Flow 1: Port → Site,MIR
3,HVDC-ADOPT-SIM-0002,,SHU,,,1.0,Outdoor,"SURGE-ARRESTER-UNIT, BOTTOM",300.0,160.0,90.0,4.32,567,867.0,Non Stackable,8535 4000,EUR,11775.0,HORSBURGH Maersk,Germany,Hamburg,Khalifa port,2024-05-04,2024-06-10,,,,,,,,,,,,2024-06-24,,,CASE_LIST,,1.0,site,SHU,2024-06-24,site,0,1,1,1,2,4.8,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,SHU
4,HVDC-ADOPT-SIM-0002,,SHU,,,1.0,Outdoor,"SURGE-ARRESTER-UNIT, UPPER",300.0,160.0,90.0,4.32,486,786.0,Non Stackable,8535 4000,EUR,11775.0,HORSBURGH Maersk,Germany,Hamburg,Khalifa port,2024-05-04,2024-06-10,,,,,,,,,,,,2024-06-24,,,CASE_LIST,,1.0,site,SHU,2024-06-24,site,0,1,1,1,2,4.8,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,SHU
5,HVDC-ADOPT-SIM-0002,,MIR,,,1.0,Outdoor,"SURGE-ARRESTER-UNIT, BOTTOM",300.0,160.0,90.0,4.32,605,905.0,Non Stackable,8535 4000,EUR,11775.0,HORSBURGH Maersk,Germany,Hamburg,Khalifa port,2024-05-04,2024-06-10,,,,,,,,,,,2024-06-24,,,,CASE_LIST,,1.0,site,MIR,2024-06-24,site,0,1,1,1,2,4.8,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
6,HVDC-ADOPT-SIM-0002,,MIR,,,1.0,Outdoor,"SURGE-ARRESTER-UNIT, UPPER",300.0,160.0,90.0,4.32,502,802.0,Non Stackable,8535 4000,EUR,11775.0,HORSBURGH Maersk,Germany,Hamburg,Khalifa port,2024-05-04,2024-06-10,,,,,,,,,,,2024-06-24,,,,CASE_LIST,,1.0,site,MIR,2024-06-24,site,0,1,1,1,2,4.8,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
7,HVDC-ADOPT-SIM-0002,,SHU,,,1.0,Outdoor,"SURGE-ARRESTER-UNIT, BOTTOM",300.0,160.0,90.0,4.32,571,871.0,Non Stackable,8535 4000,EUR,11775.0,HORSBURGH Maersk,Germany,Hamburg,Khalifa port,2024-05-04,2024-06-10,,,,,,,,,,,,2024-06-24,,,CASE_LIST,,1.0,site,SHU,2024-06-24,site,0,1,1,1,2,4.8,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,SHU
8,HVDC-ADOPT-SIM-0002,,SHU,,,1.0,Outdoor,"SURGE-ARRESTER-UNIT, UPPER",300.0,160.0,90.0,4.32,501,801.0,Non Stackable,8535 4000,EUR,11775.0,HORSBURGH Maersk,Germany,Hamburg,Khalifa port,2024-05-04,2024-06-10,,,,,,,,,,,,2024-06-24,,,CASE_LIST,,1.0,site,SHU,2024-06-24,site,0,1,1,1,2,4.8,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,SHU
9,HVDC-ADOPT-SIM-0002,,MIR,,,1.0,Outdoor,"SURGE-ARRESTER-UNIT, BOTTOM",300.0,160.0,90.0,4.32,570,870.0,Non Stackable,8535 4000,EUR,11775.0,HORSBURGH Maersk,Germany,Hamburg,Khalifa port,2024-05-04,2024-06-10,,,,,,,,,,,2024-06-24,,,,CASE_LIST,,1.0,site,MIR,2024-06-24,site,0,1,1,1,2,4.8,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
10,HVDC-ADOPT-SIM-0002,,MIR,,,1.0,Outdoor,"SURGE-ARRESTER-UNIT, UPPER",300.0,160.0,90.0,4.32,523,823.0,Non Stackable,8535 4000,EUR,11775.0,HORSBURGH Maersk,Germany,Hamburg,Khalifa port,2024-05-04,2024-06-10,,,,,,,,,,,2024-06-24,,,,CASE_LIST,,1.0,site,MIR,2024-06-24,site,0,1,1,1,2,4.8,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
11,HVDC-ADOPT-SIM-0003,,DAS,,,1.0,Outdoor,GIS Wall Opening Sealing Covers,130.0,100.0,90.0,1.17,,,Non Stackable,,,,Land Transport,UAE,Vendor Shop,MOSB,2024-04-18,2024-04-18,,,,,,,,,,,,,2024-05-24,,CASE_LIST,,1.0,site,DAS,2024-05-24,site,0,1,1,1,2,1.3,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,DAS
