no.,Shipment Invoice No.,SCT Ref.No,Site,EQ No,Case No.,Pkg,Storage,Description,L(CM),W(CM),H(CM),CBM,N.W(kgs),G.W(kgs),Stack,HS Code,Currency,Price,Vessel,COE,POL,POD,ETD/ATD,ETA/ATA,DHL WH,DSV Indoor,DSV Al Markaz,AAA Storage,DSV Outdoor,DSV MZP,MOSB,Hauler Indoor,JDN MZD,Shifting,MIR,SHU,DAS,AGI,Source_Sheet,Status_WAREHOUSE,Status_SITE,Status_Current,Status_Location,Status_Location_Date,Status_Storage,wh handling,site handling,total handling,minus,final handling,SQM,Vendor,Source_Vendor,MOSB.1,Source_File,Status_Location_YearMonth,site_handling_original,total_handling_original,wh_handling_original,FLOW_CODE,FLOW_DESCRIPTION,Final_Location
84,PRL-DAS-002-O Lot3,HVDC-ADOPT-HE-0007,DAS,EQ-001,190336,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Belgium,Antwerp,Khalifa port,2023-12-19,2024-01-25,,2024-02-02,,,,,,,,,,,2025-06-07,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-07,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
85,PRL-DAS-002-O Lot3,HVDC-ADOPT-HE-0007,DAS,EQ-001,190339,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Belgium,Antwerp,Khalifa port,2023-12-19,2024-01-25,,2024-02-02,,,,,,,,,,,2025-06-07,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-07,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
86,PRL-DAS-002-O Lot3,HVDC-ADOPT-HE-0007,DAS,EQ-001,190343,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Belgium,Antwerp,Khalifa port,2023-12-19,2024-01-25,,2024-01-31,,,,,,,,,,,2025-06-07,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-07,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
87,PRL-DAS-002-O Lot3,HVDC-ADOPT-HE-0007,DAS,EQ-001,190344,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Belgium,Antwerp,Khalifa port,2023-12-19,2024-01-25,,2024-01-31,,,,,,,,,,,2025-06-07,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-07,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
88,PRL-DAS-002-O Lot3,HVDC-ADOPT-HE-0007,DAS,EQ-001,190345,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Belgium,Antwerp,Khalifa port,2023-12-19,2024-01-25,,2024-01-31,,,,,,,,,,,2025-06-07,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-07,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
89,PRL-DAS-002-O Lot3,HVDC-ADOPT-HE-0007,DAS,EQ-001,190348,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Belgium,Antwerp,Khalifa port,2023-12-19,2024-01-25,,2024-01-31,,,,,,,,,,,2025-06-07,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-07,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
90,PRL-DAS-002-O Lot3,HVDC-ADOPT-HE-0007,DAS,EQ-001,190349,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Belgium,Antwerp,Khalifa port,2023-12-19,2024-01-25,,2024-01-31,,,,,,,,,,,2025-06-07,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-07,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
91,PRL-DAS-002-O Lot3,HVDC-ADOPT-HE-0007,DAS,EQ-001,190350,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Belgium,Antwerp,Khalifa port,2023-12-19,2024-01-25,,2024-02-02,,,,,,,,,,,2025-06-07,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-07,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
92,PRL-DAS-002-O Lot3,HVDC-ADOPT-HE-0007,DAS,EQ-001,190351,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Belgium,Antwerp,Khalifa port,2023-12-19,2024-01-25,,2024-02-02,,,,,,,,,,,2025-06-07,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-07,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
93,PRL-DAS-002-O Lot3,HVDC-ADOPT-HE-0007,DAS,EQ-001,190352,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Belgium,Antwerp,Khalifa port,2023-12-19,2024-01-25,,2024-02-02,,,,,,,,,,,2025-06-07,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-07,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
