입고월	입고_DSV Indoor	출고_DSV Indoor	누적_DSV Indoor	입고_DSV Al Markaz	출고_DSV Al Markaz	누적_DSV Al Markaz	입고_DSV Outdoor	출고_DSV Outdoor	누적_DSV Outdoor	입고_DSV MZP	출고_DSV MZP	누적_DSV MZP	입고_Hauler Indoor	출고_Hauler Indoor	누적_Hauler Indoor
2023-02	0	0	0	0	0	0	36	0	36	0	0	0	0	0	0
2023-03	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0
2023-04	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0
2023-05	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0
2023-06	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0
2023-07	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0
2023-08	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0
2023-09	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0
2023-10	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0
2023-11	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0
2023-12	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0
2024-01	73	0	73	0	0	0	68	0	104	0	0	0	0	0	0
2024-02	113	0	186	8	0	8	80	0	184	0	0	0	0	0	0
2024-03	124	0	310	0	2	6	93	0	277	0	0	0	0	0	0
2024-04	113	0	423	3	0	9	12	0	289	2	0	2	0	0	0
2024-05	41	73	391	73	2	80	29	52	266	0	0	2	0	0	0
2024-06	89	76	404	138	2	216	26	0	292	0	0	2	0	0	0
2024-07	7	0	411	239	0	455	83	0	375	0	0	2	0	0	0
2024-08	36	0	447	132	0	587	303	19	659	0	0	2	0	0	0
2024-09	33	0	480	0	0	587	256	4	911	7	0	9	0	0	0
2024-10	49	0	529	0	0	587	109	0	1020	0	0	9	0	0	0
2024-11	50	45	534	18	0	605	74	0	1094	3	2	10	0	0	0
2024-12	7	34	507	19	0	624	38	0	1132	2	0	12	0	0	0
2025-01	20	1	526	0	5	619	19	53	1098	0	0	12	0	0	0
2025-02	40	5	561	0	3	616	29	1	1126	0	0	12	0	0	0
2025-03	11	0	572	0	162	454	0	2	1124	0	2	10	0	0	0
2025-04	17	11	578	192	0	646	24	125	1023	0	0	10	0	0	0
2025-05	173	69	682	201	0	847	13	201	835	0	0	10	392	0	392
2025-06	30	185	527	53	233	667	19	76	778	0	0	10	0	0	392
2025-07	200	84	643	0	43	624	14	65	727	0	3	7	0	0	392
2025-08	15	108	550	60	167	517	15	10	732	0	0	7	0	48	344
2025-09	17	78	489	0	31	486	145	13	864	0	0	7	0	49	295
2025-10	20	196	313	0	197	289	12	6	870	0	0	7	0	99	196
2025-11	306	33	586	0	295	-6	8	351	527	0	0	7	0	0	196
2025-12	10	3	593	0	0	-6	5	198	334	0	0	7	0	100	96
2026-01	16	54	555	0	0	-6	0	172	162	0	0	7	0	0	96
total	1610	1055	555	1136	1142	-6	1510	1348	162	14	7	7	392	296	96
